,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,0.34,3.33,1.21,36.2,3.34,1.21,0.10,0.29,20.9,0.63,0.00,0.00,0.30,0.30,0.09,0.04,0.04,Matches
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
63,Allan\Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,0.14,0.85,0.49,58.3,0.84,0.49,0.17,0.29,20.0,0.00,0.00,0.00,0.05,0.05,0.06,0.09,0.09,Matches
64,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,0.39,1.90,0.88,46.2,1.90,0.88,0.18,0.39,14.3,0.00,0.05,0.05,0.35,0.31,0.16,0.04,0.03,Matches
65,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,0.12,1.64,0.51,30.9,1.64,0.51,0.07,0.24,15.7,0.00,0.00,0.00,0.19,0.19,0.12,-0.07,-0.07,Matches
66,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,0.25,1.89,0.50,26.7,1.89,0.50,0.13,0.50,16.9,0.06,0.00,0.00,0.13,0.13,0.07,0.13,0.13,Matches
67,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,0.00,0.52,0.00,0.0,0.52,0.00,0.00,,23.0,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
68,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
69,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,0.00,0.31,0.00,0.0,0.31,0.00,0.00,,19.8,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches
70,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,0.00,0.38,0.06,16.7,0.38,0.06,0.00,0.00,13.9,0.00,0.00,0.00,0.04,0.04,0.10,-0.04,-0.04,Matches
71,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,0.00,0.77,0.03,4.3,0.77,0.03,0.00,0.00,20.0,0.34,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
72,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,0.00,0.98,0.23,23.1,0.98,0.23,0.00,0.00,16.8,0.00,0.00,0.00,0.09,0.09,0.09,-0.09,-0.09,Matches
73,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,0.00,0.71,0.12,16.7,0.71,0.12,0.00,0.00,16.5,0.00,0.00,0.00,0.12,0.12,0.16,-0.12,-0.12,Matches
74,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,0.00,0.47,0.00,0.0,0.47,0.00,0.00,,14.0,0.00,0.00,0.00,0.05,0.05,0.09,-0.05,-0.05,Matches
75,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,0.05,0.59,0.11,18.2,0.58,0.11,0.09,0.50,25.1,0.00,0.00,0.00,0.02,0.02,0.03,0.04,0.04,Matches
76,Amath\Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
77,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,0.04,0.63,0.17,26.7,0.62,0.17,0.07,0.25,22.2,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.02,Matches
78,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,0.00,3.77,0.66,17.4,3.78,0.66,0.00,0.00,19.5,0.00,0.00,0.00,0.21,0.21,0.06,-0.21,-0.21,Matches
79,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,0.00,0.44,0.17,37.5,0.44,0.17,0.00,0.00,17.8,0.00,0.00,0.00,0.04,0.04,0.09,-0.04,-0.04,Matches
