,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
111,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,de Bundesliga,24-288,1996,27.1,0.11,0.00,0.00,0.77,1.18,0.04,0.30,1.66,0.74,0.00,0.04,0.00,11.5,2.14,1.55,58.0,Matches
112,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,es La Liga,22-286,1998,0.3,3.33,0.00,0.00,6.67,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,13.3,6.67,0.00,100.0,Matches
113,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,31-037,1990,18.2,0.16,0.00,0.00,1.21,1.81,0.77,1.26,0.38,0.27,0.00,0.00,0.00,3.57,2.97,5.44,35.3,Matches
114,Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,it Serie A,20-176,2000,2.2,0.45,0.00,0.00,0.91,0.91,0.00,0.00,0.91,1.36,0.00,0.00,0.00,5.45,0.91,1.82,33.3,Matches
115,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,22-308,1998,17.7,0.11,0.06,0.00,1.02,1.24,0.17,0.96,0.79,0.56,0.00,0.00,0.00,6.05,0.34,0.79,30.0,Matches
116,Adil Aouchiche\Adil-Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18-293,2002,17.7,0.11,0.00,0.00,1.07,1.69,0.11,2.20,0.28,1.07,0.00,0.00,0.00,5.93,0.85,1.53,35.7,Matches
117,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,28-329,1992,14.4,0.21,0.00,0.00,0.90,0.21,0.07,2.36,1.25,1.88,0.00,0.07,0.00,10.5,1.74,0.97,64.1,Matches
118,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,es La Liga,23-093,1998,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.3,3.33,3.33,50.0,Matches
119,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,25-216,1995,31.1,0.32,0.00,0.00,1.70,2.32,0.03,1.58,1.58,1.80,0.00,0.00,0.00,10.6,1.61,1.90,45.9,Matches
120,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,32-017,1989,16.6,0.24,0.00,0.00,1.69,1.27,0.00,0.12,1.39,1.69,0.00,0.00,0.00,12.6,0.78,1.20,39.4,Matches
121,Luiz Araújo\Luiz-Araujo,br BRA,MF,Lille,fr Ligue 1,24-336,1996,15.1,0.26,0.00,0.00,1.39,1.13,0.00,1.59,0.79,1.32,0.00,0.00,0.00,8.08,0.60,1.46,29.0,Matches
122,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,29-248,1991,24.0,0.17,0.00,0.00,1.21,0.17,0.00,0.08,1.33,0.63,0.00,0.00,0.00,10.2,2.50,1.33,65.2,Matches
123,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,22-058,1999,13.8,0.14,0.00,0.00,0.80,1.01,0.07,0.00,0.72,1.16,0.07,0.07,0.00,8.84,3.41,0.72,82.5,Matches
124,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,33-354,1987,27.2,0.29,0.00,0.00,1.29,0.44,0.00,1.10,1.88,0.88,0.00,0.07,0.00,14.2,2.72,1.84,59.7,Matches
125,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-066,1993,33.0,0.03,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.97,0.00,0.00,,Matches
126,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,de Bundesliga,29-111,1992,1.0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,12.0,0.00,3.00,0.0,Matches
127,Karim Aribi\Karim-Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26-314,1994,3.3,0.00,0.00,0.00,0.61,0.61,0.00,0.30,0.00,0.00,0.30,0.00,0.00,3.64,3.33,12.4,21.2,Matches
128,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,22-123,1999,0.5,2.00,0.00,0.00,6.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,0.0,Matches
129,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,29-035,1992,25.9,0.12,0.00,0.00,1.27,0.97,0.15,0.97,1.04,1.47,0.00,0.00,0.00,8.19,0.27,0.69,28.0,Matches
130,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,26-342,1994,25.7,0.19,0.04,0.00,1.25,2.06,0.00,1.13,1.44,1.52,0.00,0.04,0.00,13.5,1.40,1.21,53.7,Matches
131,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,de Bundesliga,20-162,2000,1.2,0.00,0.00,0.00,0.83,0.83,1.67,0.00,0.00,0.83,0.00,0.00,0.00,5.83,7.50,9.17,45.0,Matches
132,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,es La Liga,19-216,2001,1.5,0.67,0.00,0.00,0.67,1.33,1.33,0.67,2.00,0.67,0.00,0.00,0.00,8.67,0.67,1.33,33.3,Matches
133,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-213,1994,5.0,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,,Matches
134,Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,it Serie A,30-261,1990,19.3,0.47,0.00,0.00,1.87,2.18,0.00,0.41,0.98,1.92,0.00,0.05,0.00,9.69,0.67,0.47,59.1,Matches
135,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DFMF,Cagliari,it Serie A,32-146,1988,2.3,0.00,0.00,0.00,0.00,1.74,0.00,1.74,2.17,1.74,0.00,0.00,0.00,8.70,0.87,0.43,66.7,Matches
136,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,24-068,1997,4.6,0.43,0.00,0.00,1.52,0.00,0.00,0.22,0.87,1.30,0.00,0.00,0.00,10.7,1.09,1.52,41.7,Matches
137,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-310,1989,33.0,0.03,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.94,0.00,0.00,,Matches
138,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,25-103,1996,19.2,0.05,0.00,0.00,0.26,1.41,0.31,3.54,0.73,0.52,0.00,0.00,0.00,5.94,0.47,0.31,60.0,Matches
139,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,20-115,2001,0.9,2.22,0.00,0.00,3.33,0.00,0.00,1.11,1.11,1.11,0.00,0.00,0.00,4.44,1.11,2.22,33.3,Matches
140,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,33-276,1987,29.0,0.28,0.00,0.00,0.72,1.76,0.41,1.34,0.55,0.14,0.00,0.03,0.00,4.76,0.59,1.69,25.8,Matches
141,Roger Assalé\Roger-Assale,ci CIV,FWMF,Dijon,fr Ligue 1,27-172,1993,9.2,0.00,0.11,0.00,1.30,2.83,0.54,0.54,0.76,0.76,0.11,0.00,0.00,4.24,0.98,2.39,29.0,Matches
142,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,21-342,1999,5.5,0.18,0.00,0.00,0.91,0.36,0.00,0.36,1.82,2.18,0.00,0.00,0.00,9.27,2.36,2.00,54.2,Matches
143,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,24-352,1996,8.1,0.12,0.00,0.00,1.73,2.96,0.74,3.46,1.85,2.35,0.00,0.00,0.00,7.90,0.99,1.85,34.8,Matches
144,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31-320,1989,23.2,0.09,0.00,0.00,0.56,0.78,0.65,1.90,0.22,0.22,0.00,0.00,0.04,3.36,1.12,2.50,31.0,Matches
145,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,24-106,1997,34.0,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.12,0.00,0.00,,Matches
146,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,26-247,1994,31.7,0.06,0.03,0.00,0.38,0.76,0.06,3.28,1.14,0.76,0.00,0.00,0.00,8.77,1.39,1.04,57.1,Matches
147,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Nantes,fr Ligue 1,23-322,1997,0.4,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,2.50,0.0,Matches
148,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,27-013,1994,19.7,0.20,0.00,0.00,0.76,1.22,0.10,3.71,0.66,0.76,0.00,0.05,0.05,8.38,1.98,1.22,61.9,Matches
149,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,28-131,1992,16.8,0.00,0.00,0.00,1.31,0.77,0.06,1.25,1.37,2.08,0.00,0.06,0.00,8.63,2.20,2.20,50.0,Matches
150,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,eng Premier League,31-303,1989,1.5,0.00,0.00,0.00,0.00,1.33,0.67,0.67,1.33,2.00,0.00,0.00,0.00,4.00,4.67,8.67,35.0,Matches
151,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Osasuna,es La Liga,27-087,1994,1.3,0.00,0.00,0.00,2.31,3.08,0.77,1.54,0.00,0.00,0.00,0.00,0.00,7.69,0.77,4.62,14.3,Matches
152,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23-265,1997,14.3,0.00,0.00,0.00,1.40,1.40,0.98,0.21,0.28,0.42,0.07,0.00,0.00,4.13,2.03,5.87,25.7,Matches
153,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,de Bundesliga,19-084,2002,3.8,0.00,0.00,0.00,0.79,1.05,0.00,2.63,1.84,1.58,0.00,0.00,0.00,6.32,2.89,2.37,55.0,Matches
154,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,29-235,1991,21.2,0.09,0.00,0.00,1.89,2.74,0.24,0.80,1.13,1.46,0.00,0.00,0.00,5.66,1.08,4.76,18.5,Matches
155,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Sassuolo,it Serie A,26-175,1994,8.7,0.34,0.00,0.00,0.92,0.23,0.00,0.34,0.92,1.15,0.00,0.00,0.00,6.09,1.72,1.84,48.4,Matches
156,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,eng Premier League,29-252,1991,33.8,0.21,0.00,0.00,0.77,1.45,0.06,2.04,1.48,1.72,0.00,0.03,0.00,11.0,1.86,1.75,51.6,Matches
157,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,es La Liga,28-143,1992,1.1,0.00,0.00,0.00,0.91,0.91,0.00,0.91,0.00,2.73,0.00,0.00,0.00,10.9,3.64,0.91,80.0,Matches
158,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31-249,1989,20.5,0.20,0.00,0.00,1.41,0.54,0.20,0.88,1.37,1.02,0.00,0.00,0.00,10.4,2.39,2.10,53.3,Matches
159,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,34-345,1986,3.2,0.00,0.00,0.00,1.25,2.19,0.00,0.63,0.63,0.94,0.00,0.00,0.00,12.5,2.50,2.19,53.3,Matches
160,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,34-238,1986,7.1,0.14,0.00,0.00,1.41,0.70,0.85,0.85,0.28,0.85,0.00,0.00,0.00,3.10,1.69,2.82,37.5,Matches
161,Loïc Bade\Loic-Bade,fr FRA,DF,Lens,fr Ligue 1,21-023,2000,26.0,0.38,0.04,0.04,1.50,0.54,0.04,0.12,1.81,1.31,0.00,0.00,0.00,11.8,4.69,2.27,67.4,Matches
162,Milan Badelj\Milan-Badelj,hr CRO,MF,Genoa,it Serie A,32-068,1989,25.4,0.28,0.00,0.00,1.38,1.22,0.04,0.47,3.23,1.54,0.04,0.00,0.00,12.6,0.63,0.55,53.3,Matches
163,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,29-081,1992,30.0,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.90,0.00,0.00,,Matches
164,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,es La Liga,19-288,2001,1.4,0.00,0.00,0.00,0.71,2.86,0.00,2.14,2.14,0.00,0.00,0.00,0.00,3.57,0.00,1.43,0.0,Matches
165,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,es La Liga,21-038,2000,5.8,0.00,0.00,0.00,0.69,1.38,0.69,1.03,1.03,0.86,0.00,0.00,0.00,5.69,1.72,1.55,52.6,Matches
166,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,28-341,1992,16.7,0.24,0.00,0.00,1.86,1.74,1.02,1.08,0.60,0.72,0.00,0.00,0.00,3.95,1.20,3.41,26.0,Matches
167,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,23-268,1997,23.3,0.26,0.00,0.00,1.03,1.85,0.64,3.78,0.77,0.52,0.00,0.00,0.00,8.03,0.90,1.59,36.2,Matches
168,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27-022,1994,7.1,0.28,0.00,0.00,1.13,0.56,0.00,0.00,2.39,0.70,0.00,0.00,0.00,11.0,2.39,1.55,60.7,Matches
169,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-132,2001,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,,Matches
170,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Napoli,it Serie A,26-260,1994,19.0,0.26,0.05,0.05,1.68,2.32,0.05,0.00,1.16,2.53,0.05,0.00,0.00,9.05,1.68,1.47,53.3,Matches
171,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20-318,2000,17.8,0.06,0.00,0.00,0.84,0.45,0.17,2.58,0.90,1.46,0.00,0.00,0.00,9.61,1.24,1.01,55.0,Matches
172,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,de Bundesliga,23-026,1998,26.8,0.00,0.00,0.00,1.01,1.31,0.37,3.06,1.60,0.97,0.00,0.00,0.00,8.36,0.60,1.75,25.4,Matches
173,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,de Bundesliga,23-026,1998,2.0,0.00,0.00,0.00,0.50,2.50,0.00,1.50,2.00,1.00,0.00,0.00,0.00,10.0,0.50,0.50,50.0,Matches
174,Dilane Bakwa\Dilane-Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,18-251,2002,0.6,0.00,0.00,0.00,1.67,10.0,0.00,0.00,1.67,3.33,0.00,0.00,0.00,8.33,3.33,1.67,66.7,Matches
175,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,29-254,1991,13.3,0.08,0.08,0.00,0.90,0.23,0.00,0.00,1.05,1.05,0.00,0.00,0.00,8.57,1.95,1.28,60.5,Matches
176,Keita Baldé\Keita-Balde,sn SEN,FW,Sampdoria,it Serie A,26-057,1995,11.4,0.35,0.09,0.00,2.63,2.81,0.26,0.88,0.26,0.61,0.09,0.09,0.00,2.98,1.58,3.51,31.0,Matches
177,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,28-056,1993,28.0,0.18,0.00,0.00,1.54,0.71,0.21,1.64,1.04,0.82,0.00,0.00,0.00,6.82,0.82,1.21,40.4,Matches
178,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,eng Premier League,31-292,1989,8.0,0.13,0.00,0.00,1.00,1.25,0.38,2.38,0.75,1.13,0.00,0.00,0.00,7.13,2.00,1.13,64.0,Matches
179,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,33-064,1988,14.8,0.00,0.00,0.00,1.01,0.88,0.07,1.22,0.54,0.95,0.00,0.00,0.00,7.91,1.01,1.08,48.4,Matches
180,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,Marseille,fr Ligue 1,22-098,1999,16.1,0.31,0.06,0.00,1.80,1.24,0.12,0.00,1.86,1.06,0.00,0.00,0.00,8.63,2.05,2.24,47.8,Matches
181,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Monaco,fr Ligue 1,24-121,1997,7.3,0.27,0.00,0.00,1.37,1.51,0.14,3.56,0.68,2.47,0.14,0.00,0.00,7.81,1.51,1.64,47.8,Matches
182,Botond Balogh\Botond-Balogh,hu HUN,DF,Parma,it Serie A,18-332,2002,1.6,0.63,0.00,0.00,0.63,0.00,0.00,0.00,0.00,1.88,0.00,0.00,0.00,4.38,0.63,1.88,25.0,Matches
183,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,31-009,1990,15.0,0.13,0.00,0.00,0.93,0.47,0.00,2.47,1.20,1.13,0.00,0.07,0.00,8.00,0.67,0.73,47.6,Matches
184,Jonathan Bamba\Jonathan-Bamba,fr FRA,MF,Lille,fr Ligue 1,25-039,1996,31.2,0.06,0.00,0.00,0.83,2.02,0.10,1.96,0.87,0.99,0.00,0.00,0.00,8.24,0.45,1.06,29.8,Matches
185,Robson Bambu\Robson-Bambu,br BRA,DF,Nice,fr Ligue 1,23-173,1997,11.6,0.26,0.09,0.00,1.72,0.86,0.09,0.00,1.03,1.12,0.00,0.00,0.00,9.83,1.38,1.98,41.0,Matches
186,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,eng Premier League,27-241,1993,30.9,0.10,0.00,0.00,1.04,0.74,0.52,0.16,0.42,0.49,0.10,0.00,0.00,2.69,1.59,2.43,39.5,Matches
187,Mattia Bani\Mattia-Bani,it ITA,DF,Genoa,it Serie A,27-145,1993,10.2,0.39,0.00,0.00,1.27,0.78,0.10,0.00,1.76,0.78,0.00,0.00,0.00,11.3,3.92,2.45,61.5,Matches
188,Mattia Bani\Mattia-Bani,it ITA,DF,Parma,it Serie A,27-145,1993,10.7,0.47,0.00,0.00,1.40,0.75,0.00,0.19,1.31,0.84,0.00,0.00,0.00,5.51,3.46,1.87,64.9,Matches
189,Simon Banza\Simon-Banza,fr FRA,FW,Lens,fr Ligue 1,24-264,1996,14.6,0.41,0.07,0.07,1.92,2.19,0.62,0.68,0.34,0.62,0.07,0.00,0.00,3.63,3.42,3.97,46.3,Matches
190,Antonín Barák\Antonin-Barak,cz CZE,MFFW,Hellas Verona,it Serie A,26-152,1994,28.2,0.14,0.04,0.00,1.91,0.57,0.14,0.60,0.50,0.96,0.00,0.04,0.00,8.48,2.20,3.23,40.5,Matches
191,Federico Barba\Federico-Barba,it ITA,DF,Benevento,it Serie A,27-245,1993,26.2,0.27,0.00,0.00,0.84,0.31,0.04,0.84,2.02,0.69,0.00,0.00,0.04,8.13,1.15,1.26,47.6,Matches
192,Danilo Barbosa\Danilo-Barbosa,br BRA,DF,Nice,fr Ligue 1,25-065,1996,2.8,0.71,0.00,0.00,1.07,1.79,0.00,0.00,0.36,1.07,0.00,0.00,0.00,12.1,1.79,0.71,71.4,Matches
193,Barcia\Barcia,es ESP,DF,Granada,es La Liga,20-124,2000,1.0,1.00,0.00,0.00,2.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,14.0,4.00,0.00,100.0,Matches
194,Melvin Bard\Melvin-Bard,fr FRA,DF,Lyon,fr Ligue 1,20-179,2000,4.8,0.00,0.21,0.00,1.67,1.25,0.00,2.92,1.25,2.29,0.21,0.00,0.00,14.4,2.92,2.50,53.8,Matches
195,Enis Bardhi\Enis-Bardhi,mk MKD,MFFW,Levante,es La Liga,25-306,1995,16.9,0.24,0.00,0.00,1.36,1.36,0.24,1.89,1.78,1.12,0.00,0.00,0.00,8.17,0.30,1.54,16.1,Matches
196,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,35-310,1985,3.0,0.67,0.00,0.00,2.67,1.33,0.00,2.33,1.00,1.33,0.00,0.00,0.00,13.0,1.67,1.67,50.0,Matches
197,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,it Serie A,24-086,1997,29.8,0.17,0.00,0.00,1.44,1.68,0.07,1.58,1.01,1.28,0.00,0.03,0.00,9.77,1.11,0.81,57.9,Matches
198,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,32-062,1989,0.3,0.00,0.00,0.00,0.00,3.33,0.00,3.33,3.33,3.33,0.00,0.00,0.00,6.67,3.33,3.33,50.0,Matches
199,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,es La Liga,24-033,1997,13.2,0.15,0.00,0.00,1.14,1.67,0.08,3.48,1.36,0.53,0.08,0.00,0.00,7.58,1.52,1.36,52.6,Matches
200,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,eng Premier League,27-150,1993,15.5,0.00,0.00,0.00,0.77,0.97,0.32,1.10,0.32,0.13,0.06,0.00,0.00,8.13,1.48,1.48,50.0,Matches
201,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,eng Premier League,27-150,1993,0.5,0.00,0.00,0.00,4.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,16.0,6.00,2.00,75.0,Matches
202,Aymen Barkok\Aymen-Barkok,ma MAR,FWMF,Eint Frankfurt,de Bundesliga,22-348,1998,10.3,0.49,0.00,0.00,2.23,0.58,0.10,1.55,1.26,1.75,0.00,0.10,0.00,8.54,1.55,2.43,39.0,Matches
203,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,eng Premier League,31-186,1989,14.4,0.28,0.00,0.00,2.92,3.40,1.18,0.42,0.28,0.42,0.07,0.00,0.00,4.86,3.61,6.32,36.4,Matches
204,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23-146,1997,21.6,0.00,0.00,0.00,0.74,1.53,0.05,0.83,0.74,0.65,0.00,0.00,0.00,6.20,1.02,1.48,40.7,Matches
205,Marc Baró Ortiz\Marc-Baro-Ortiz,es ESP,DF,Cádiz,es La Liga,21-254,1999,1.0,0.00,0.00,0.00,1.00,3.00,0.00,2.00,3.00,1.00,0.00,0.00,0.00,5.00,0.00,0.00,,Matches
206,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,es La Liga,33-326,1987,21.8,0.32,0.00,0.00,1.51,1.15,0.09,1.51,1.28,0.60,0.05,0.05,0.00,6.38,1.10,0.87,55.8,Matches
207,Antonio Barreca\Antonio-Barreca,it ITA,DF,Fiorentina,it Serie A,26-047,1995,0.9,0.00,0.00,0.00,1.11,0.00,1.11,4.44,0.00,0.00,0.00,1.11,0.00,7.78,1.11,6.67,14.3,Matches
208,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,21-121,2000,23.3,0.17,0.00,0.00,2.58,1.89,0.00,0.26,1.63,1.46,0.00,0.09,0.00,11.9,2.40,2.27,51.4,Matches
209,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,es La Liga,19-128,2001,12.9,0.54,0.00,0.00,2.95,1.40,0.31,2.02,0.78,1.40,0.00,0.00,0.00,7.29,0.39,2.09,15.6,Matches
210,Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,de Bundesliga,26-168,1994,11.7,0.09,0.00,0.00,0.94,1.03,0.00,1.28,1.79,1.03,0.00,0.00,0.00,8.97,1.11,1.97,36.1,Matches
211,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Bologna,it Serie A,22-171,1998,29.5,0.00,0.00,0.00,0.51,1.05,0.41,2.20,0.44,0.24,0.00,0.00,0.00,4.41,0.85,2.51,25.3,Matches
212,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,eng Premier League,29-347,1991,24.7,0.16,0.00,0.00,1.09,0.28,0.16,0.16,0.97,0.61,0.00,0.04,0.00,9.68,4.01,1.82,68.8,Matches
213,Paolo Bartolomei\Paolo-Bartolomei,it ITA,MF,Spezia,it Serie A,31-256,1989,3.6,0.28,0.00,0.00,1.11,0.28,0.00,2.50,0.00,0.56,0.00,0.28,0.00,5.00,0.28,0.56,33.3,Matches
214,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,es La Liga,30-109,1991,14.8,0.20,0.00,0.00,1.76,0.81,0.07,0.27,1.42,0.61,0.00,0.20,0.00,10.4,2.64,1.62,61.9,Matches
215,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,29-053,1992,3.2,0.31,0.00,0.00,1.25,2.19,0.00,0.63,1.25,2.81,0.00,0.00,0.00,11.3,2.50,2.81,47.1,Matches
216,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,eng Premier League,32-288,1988,24.6,0.12,0.00,0.00,0.85,0.89,0.20,0.98,1.54,1.79,0.04,0.04,0.00,10.4,2.76,1.99,58.1,Matches
217,Toma Bašić\Toma-Basic,hr CRO,MF,Bordeaux,fr Ligue 1,24-160,1996,26.0,0.23,0.00,0.00,1.46,1.04,0.08,1.08,0.81,0.81,0.00,0.00,0.00,6.54,0.85,1.15,42.3,Matches
218,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Inter,it Serie A,22-021,1999,29.6,0.17,0.00,0.00,1.22,0.84,0.00,0.51,1.08,0.88,0.00,0.00,0.00,8.14,1.96,1.08,64.4,Matches
219,Simone Bastoni\Simone-Bastoni,it ITA,DF,Spezia,it Serie A,24-180,1996,15.2,0.46,0.00,0.00,2.04,1.64,0.13,2.70,1.25,1.84,0.00,0.07,0.00,9.74,1.38,1.84,42.9,Matches
220,Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,30-038,1991,0.7,0.00,0.00,0.00,1.43,5.71,0.00,0.00,0.00,2.86,0.00,0.00,0.00,11.4,1.43,0.00,100.0,Matches
221,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,27-214,1993,7.9,0.00,0.00,0.00,1.27,0.63,1.39,0.89,0.25,0.38,0.13,0.00,0.00,4.18,1.01,2.91,25.8,Matches
222,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,es La Liga,29-296,1991,25.5,0.35,0.04,0.00,1.25,1.06,0.04,0.20,0.63,1.06,0.00,0.00,0.00,9.18,1.57,0.90,63.5,Matches
223,Cristian Battocchio\Cristian-Battocchio,it ITA,MFFW,Brest,fr Ligue 1,29-083,1992,3.9,0.00,0.00,0.00,0.26,0.51,0.00,1.79,0.77,0.77,0.00,0.00,0.00,9.23,0.26,0.77,25.0,Matches
