,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
77,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,41.0,50.9,80.4,734.5,255.3,17.6,20.2,87.2,18.6,22.1,84.2,4.00,6.63,60.4,0.04,0.05,-0.01,0.58,1.92,0.63,0.33,3.08,Matches
78,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,23.0,31.6,72.5,412.0,123.3,10.8,13.6,79.5,9.18,12.1,75.7,2.46,4.10,60.0,0.00,0.08,-0.08,1.80,3.28,1.15,0.49,2.79,Matches
79,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,30.4,37.0,82.4,526.7,202.7,14.3,15.4,92.8,12.4,14.0,88.2,2.98,5.80,51.4,0.11,0.02,0.09,0.17,1.99,0.44,0.11,3.09,Matches
80,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,44.0,55.8,78.9,781.1,208.4,21.0,23.7,88.3,15.6,18.0,87.0,5.78,10.9,53.1,0.10,0.29,-0.19,2.62,3.54,1.12,0.29,4.66,Matches
81,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,82.2,86.7,94.9,1661.1,494.4,21.1,22.2,95.0,46.7,48.9,95.5,11.1,12.2,90.9,0.00,0.00,0.00,0.00,5.56,0.00,0.00,1.11,Matches
82,Opoku Ampomah\Opoku-Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,11.3,18.6,60.6,214.5,60.2,6.07,8.39,72.3,3.21,5.36,60.0,1.96,3.57,55.0,0.00,0.05,-0.05,1.43,1.07,0.54,0.00,2.14,Matches
83,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,47.1,53.6,87.7,975.7,194.3,15.9,18.0,88.3,22.3,24.3,91.8,8.12,10.0,81.2,0.03,0.05,-0.02,0.93,4.66,1.02,0.28,4.35,Matches
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,70.1,76.9,91.1,1644.7,418.5,13.4,14.2,93.8,41.4,43.6,94.7,15.1,18.5,81.6,0.00,0.01,-0.01,0.24,3.35,0.18,0.06,3.82,Matches
85,Djavan Anderson\Djavan-Anderson,nl NED,DFMF,Lazio,it Serie A,24,1995,1.9,30.5,35.8,85.3,528.9,108.4,15.3,17.9,85.3,11.6,13.2,88.0,2.63,3.16,83.3,0.00,0.00,0.00,0.00,0.00,0.53,0.53,0.00,Matches
86,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,43.7,56.3,77.6,726.2,211.1,23.9,28.3,84.6,14.2,18.0,78.6,4.34,6.20,69.9,0.24,0.19,0.05,1.57,2.95,1.99,0.36,5.12,Matches
87,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,16.6,26.7,62.3,225.6,47.8,10.2,14.7,69.2,4.93,8.56,57.6,0.67,1.48,45.5,0.03,0.05,-0.02,0.67,1.54,0.44,0.13,1.58,Matches
88,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,eng Premier League,26,1993,0.8,10.0,15.0,66.7,96.3,25.0,7.50,10.0,75.0,2.50,3.75,66.7,0.00,0.00,,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,Matches
89,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,43.0,54.3,79.2,758.7,183.1,20.3,23.4,86.5,16.6,20.4,81.7,4.91,7.59,64.7,0.04,0.05,-0.00,0.57,4.30,0.35,0.18,3.55,Matches
90,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,21.7,27.6,78.5,716.4,444.7,2.54,2.54,100.0,9.83,9.83,100.0,9.32,15.3,61.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
