,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
2134,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Nîmes,fr Ligue 1,30-188,1990,35.0,0.00,0.06,0.00,0.0,0.06,0.00,0.00,,9.1,0.00,0.00,0.00,0.00,0.00,0.04,-0.00,-0.00,Matches
2135,Bryan Reynolds\Bryan-Reynolds,us USA,DF,Roma,it Serie A,19-310,2001,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2136,Franck Ribéry\Franck-Ribery,fr FRA,FW,Fiorentina,it Serie A,38-027,1983,21.2,0.09,0.90,0.42,47.4,0.90,0.42,0.11,0.22,15.5,0.00,0.00,0.00,0.13,0.13,0.15,-0.04,-0.04,Matches
2137,Ricard\Ricard,es ESP,DF,Atlético Madrid,es La Liga,21-071,2000,0.3,0.00,3.33,0.00,0.0,3.00,0.00,0.00,,19.2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
2138,Federico Ricci\Federico-Ricci,it ITA,FW,Sassuolo,it Serie A,26-342,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2139,Giacomo Ricci\Giacomo-Ricci,it ITA,DF,Parma,it Serie A,24-244,1996,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2140,Matteo Ricci\Matteo-Ricci,it ITA,MF,Spezia,it Serie A,26-342,1994,22.6,0.00,0.93,0.22,23.8,0.93,0.22,0.00,0.00,25.6,0.13,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
2141,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,eng Premier League,22-110,1999,29.0,0.03,0.76,0.21,27.3,0.76,0.21,0.00,0.00,19.5,0.07,0.03,0.03,0.07,0.04,0.06,-0.03,-0.04,Matches
2142,Chris Richards\Chris-Richards,us USA,DF,Hoffenheim,de Bundesliga,21-037,2000,10.5,0.00,0.29,0.00,0.0,0.29,0.00,0.00,,9.0,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
2143,Chris Richards\Chris-Richards,us USA,DF,Bayern Munich,de Bundesliga,21-037,2000,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2144,Lewis Richardson\Lewis-Richardson,eng ENG,FWMF,Burnley,eng Premier League,18-086,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2145,Richarlison\Richarlison,br BRA,FW,Everton,eng Premier League,23-359,1997,27.0,0.22,2.56,1.00,39.1,2.55,1.00,0.07,0.19,14.7,0.04,0.04,0.04,0.37,0.34,0.13,-0.15,-0.16,Matches
2146,Marco Richter\Marco-Richter,de GER,FWMF,Augsburg,de Bundesliga,23-161,1997,13.4,0.22,3.28,1.12,34.1,3.28,1.12,0.07,0.20,19.3,0.00,0.00,0.00,0.30,0.30,0.09,-0.07,-0.07,Matches
2147,Mikel Rico\Mikel-Rico,es ESP,MF,Huesca,es La Liga,36-181,1984,21.4,0.05,0.79,0.23,29.4,0.79,0.23,0.06,0.20,15.7,0.00,0.00,0.00,0.09,0.09,0.12,-0.05,-0.05,Matches
2148,Sergio Rico\Sergio-Rico,es ESP,GK,Paris S-G,fr Ligue 1,27-245,1993,9.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2149,Jaïro Riedewald\Jairo-Riedewald,nl NED,MF,Crystal Palace,eng Premier League,24-237,1996,17.9,0.11,0.45,0.11,25.0,0.45,0.11,0.25,1.00,19.6,0.00,0.00,0.00,0.04,0.04,0.08,0.07,0.07,Matches
2150,Emiliano Rigoni\Emiliano-Rigoni,ar ARG,MFFW,Elche,es La Liga,28-089,1993,12.6,0.08,1.35,0.56,41.2,1.35,0.56,0.06,0.14,20.3,0.32,0.00,0.00,0.21,0.21,0.15,-0.13,-0.13,Matches
2151,Tomás Rincón\Tomas-Rincon,ve VEN,MF,Torino,it Serie A,33-111,1988,27.9,0.04,0.72,0.11,15.0,0.72,0.11,0.05,0.33,17.6,0.00,0.00,0.00,0.05,0.05,0.07,-0.01,-0.01,Matches
2152,Luis Rioja\Luis-Rioja,es ESP,MFDF,Alavés,es La Liga,27-200,1993,20.3,0.10,0.89,0.39,44.4,0.89,0.39,0.11,0.25,18.0,0.00,0.00,0.00,0.13,0.13,0.15,-0.03,-0.03,Matches
2153,Renaud Ripart\Renaud-Ripart,fr FRA,MFFW,Nîmes,fr Ligue 1,28-051,1993,30.9,0.32,1.81,0.55,30.4,1.81,0.55,0.09,0.29,17.7,0.00,0.16,0.19,0.28,0.14,0.08,0.04,0.03,Matches
2154,Andrea Rispoli\Andrea-Rispoli,it ITA,DF,Crotone,it Serie A,32-217,1988,6.7,0.00,0.60,0.15,25.0,0.59,0.15,0.00,0.00,22.5,0.00,0.00,0.00,0.06,0.06,0.09,-0.06,-0.06,Matches
2155,Mihailo Ristić\Mihailo-Ristic,rs SRB,DF,Montpellier,fr Ligue 1,25-185,1995,23.0,0.00,0.87,0.26,30.0,0.87,0.26,0.00,0.00,22.4,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
2156,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,eng Premier League,31-236,1989,11.1,0.00,0.72,0.09,12.5,0.72,0.09,0.00,0.00,21.8,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
2157,Maxence Rivera\Maxence-Rivera,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18-339,2002,2.4,0.00,0.83,0.42,50.0,0.82,0.41,0.00,0.00,22.1,0.00,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
2158,Emmanuel Rivière\Emmanuel-Riviere,fr FRA,FWMF,Crotone,it Serie A,31-062,1990,7.1,0.14,1.55,0.42,27.3,1.56,0.42,0.09,0.33,14.9,0.00,0.00,0.00,0.15,0.15,0.10,-0.01,-0.01,Matches
2159,Rober\Rober,es ESP,DFMF,Levante,es La Liga,26-077,1995,11.8,0.00,0.25,0.00,0.0,0.25,0.00,0.00,,21.7,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
2160,Roberto\Roberto,es ESP,GK,Valladolid,es La Liga,35-083,1986,12.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2161,Sergi Roberto\Sergi-Roberto,es ESP,DF,Barcelona,es La Liga,29-086,1992,9.9,0.10,0.51,0.10,20.0,0.51,0.10,0.20,1.00,17.2,0.00,0.00,0.00,0.05,0.05,0.11,0.05,0.05,Matches
2162,Tyler Roberts\Tyler-Roberts,wal WAL,MFFW,Leeds United,eng Premier League,22-112,1999,13.7,0.00,1.53,0.66,42.9,1.53,0.66,0.00,0.00,18.6,0.00,0.00,0.00,0.12,0.12,0.08,-0.12,-0.12,Matches
2163,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,eng Premier League,27-054,1994,32.6,0.03,0.52,0.15,29.4,0.52,0.15,0.06,0.20,16.8,0.00,0.00,0.00,0.04,0.04,0.08,-0.01,-0.01,Matches
2164,Antonee Robinson\Antonee-Robinson,us USA,DF,Fulham,eng Premier League,23-269,1997,23.0,0.00,0.48,0.17,36.4,0.48,0.17,0.00,0.00,19.0,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
2165,Callum Robinson\Callum-Robinson,ie IRL,FWMF,West Brom,eng Premier League,26-091,1995,15.9,0.31,1.57,0.69,44.0,1.57,0.69,0.20,0.45,20.2,0.00,0.00,0.00,0.16,0.16,0.10,0.16,0.16,Matches
2166,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,eng Premier League,27-245,1993,6.7,0.00,0.45,0.00,0.0,0.44,0.00,0.00,,9.3,0.00,0.00,0.00,0.04,0.04,0.11,-0.04,-0.04,Matches
2167,Joel Robles\Joel-Robles,es ESP,GK,Betis,es La Liga,30-321,1990,18.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2168,Hal Robson-Kanu\Hal-Robson-Kanu,wal WAL,FWMF,West Brom,eng Premier League,31-348,1989,3.6,0.00,1.11,0.56,50.0,1.10,0.55,0.00,0.00,24.7,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
2169,Marc Roca\Marc-Roca,es ESP,MF,Bayern Munich,de Bundesliga,24-159,1996,1.6,0.00,1.88,0.00,0.0,1.84,0.00,0.00,,16.5,0.00,0.00,0.00,0.19,0.19,0.09,-0.19,-0.19,Matches
2170,Christopher Rocchia\Christopher-Rocchia,fr FRA,DF,Marseille,fr Ligue 1,23-092,1998,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2171,Rubén Rochina\Ruben-Rochina,es ESP,MF,Levante,es La Liga,30-042,1991,15.6,0.00,2.31,0.51,22.2,2.31,0.51,0.00,0.00,24.4,0.00,0.00,0.00,0.11,0.11,0.05,-0.11,-0.11,Matches
2172,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,eng Premier League,24-142,1996,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2173,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,de Bundesliga,30-205,1990,17.5,0.06,0.17,0.17,100.0,0.17,0.17,0.33,0.33,22.4,0.00,0.00,0.00,0.01,0.01,0.03,0.05,0.05,Matches
2174,Joe Rodon\Joe-Rodon,wal WAL,DF,Tottenham,eng Premier League,23-194,1997,8.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2175,Rodri\Rodri,es ESP,MF,Manchester City,eng Premier League,24-316,1996,27.1,0.07,1.03,0.26,25.0,1.03,0.26,0.04,0.14,19.6,0.00,0.04,0.04,0.08,0.06,0.06,-0.01,-0.02,Matches
2176,Rodrigo\Rodrigo,es ESP,MFFW,Leeds United,eng Premier League,30-059,1991,12.5,0.24,3.20,1.04,32.5,3.21,1.04,0.08,0.23,15.4,0.08,0.00,0.00,0.33,0.33,0.10,-0.09,-0.09,Matches
2177,Rodrigo\Rodrigo,es ESP,FWMF,Betis,es La Liga,20-353,2000,4.2,0.00,0.71,0.00,0.0,0.71,0.00,0.00,,23.4,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
2178,Kévin Rodrigues\Kevin-Rodrigues,pt POR,DFMF,Eibar,es La Liga,27-060,1994,11.6,0.09,0.78,0.34,44.4,0.78,0.35,0.11,0.25,22.1,0.00,0.00,0.00,0.05,0.05,0.07,0.03,0.03,Matches
2179,Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MFFW,Sevilla,es La Liga,22-310,1998,4.1,0.00,1.95,0.24,12.5,1.93,0.24,0.00,0.00,22.6,0.24,0.00,0.00,0.10,0.10,0.05,-0.10,-0.10,Matches
2180,Ángel Rodríguez\Angel-Rodriguez,es ESP,FWMF,Getafe,es La Liga,34-008,1987,14.0,0.36,2.21,0.71,32.3,2.22,0.71,0.13,0.40,16.5,0.00,0.07,0.14,0.36,0.25,0.11,0.00,0.04,Matches
2181,Guido Rodríguez\Guido-Rodriguez,ar ARG,MF,Betis,es La Liga,27-022,1994,27.8,0.04,0.90,0.22,24.0,0.90,0.22,0.04,0.17,19.7,0.00,0.00,0.00,0.04,0.04,0.05,-0.01,-0.01,Matches
2182,James Rodríguez\James-Rodriguez,co COL,FWMF,Everton,eng Premier League,29-296,1991,18.7,0.32,1.93,1.02,52.8,1.92,1.01,0.17,0.32,19.7,0.21,0.00,0.00,0.18,0.18,0.09,0.14,0.14,Matches
2183,Jay Rodriguez\Jay-Rodriguez,eng ENG,FWMF,Burnley,eng Premier League,31-279,1989,13.3,0.08,2.03,0.53,25.9,2.04,0.53,0.04,0.14,17.7,0.00,0.00,0.00,0.15,0.15,0.08,-0.08,-0.08,Matches
2184,Miguel Rodríguez\Miguel-Rodriguez,es ESP,FWMF,Celta Vigo,es La Liga,18-005,2003,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2185,Ricardo Rodríguez\Ricardo-Rodriguez,ch SUI,DF,Torino,it Serie A,28-252,1992,13.1,0.00,0.99,0.15,15.4,0.99,0.15,0.00,0.00,25.8,0.61,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
2186,Víctor Rodríguez\Victor-Rodriguez,es ESP,MF,Elche,es La Liga,31-285,1989,4.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2187,Rodrygo\Rodrygo,br BRA,FW,Real Madrid,es La Liga,20-115,2001,9.0,0.00,2.44,0.44,18.2,2.44,0.44,0.00,0.00,16.1,0.11,0.00,0.00,0.23,0.23,0.09,-0.23,-0.23,Matches
2188,Marko Rog\Marko-Rog,hr CRO,MF,Cagliari,it Serie A,25-289,1995,12.9,0.00,0.62,0.16,25.0,0.62,0.15,0.00,0.00,25.1,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
2189,Rogério\Rogerio,br BRA,DF,Sassuolo,it Serie A,23-111,1998,18.4,0.00,0.76,0.16,21.4,0.76,0.16,0.00,0.00,21.7,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
2190,Luis Rojas\Luis-Rojas,cl CHI,MFFW,Crotone,it Serie A,19-059,2002,0.8,0.00,1.25,0.00,0.0,1.20,0.00,0.00,,25.5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
2191,Alessio Romagnoli\Alessio-Romagnoli,it ITA,DF,Milan,it Serie A,26-112,1995,21.2,0.05,0.71,0.14,20.0,0.71,0.14,0.07,0.33,6.6,0.00,0.00,0.00,0.11,0.11,0.15,-0.06,-0.06,Matches
2192,Cristian Romero\Cristian-Romero,ar ARG,DF,Atalanta,it Serie A,23-007,1998,24.3,0.08,0.58,0.29,50.0,0.58,0.29,0.14,0.29,9.4,0.00,0.00,0.00,0.07,0.07,0.13,0.01,0.01,Matches
2193,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,eng Premier League,29-222,1991,19.2,0.05,0.73,0.21,28.6,0.73,0.21,0.07,0.25,24.0,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.03,Matches
2194,Cristiano Ronaldo\Cristiano-Ronaldo,pt POR,FW,Juventus,it Serie A,36-088,1985,28.4,0.95,5.42,2.01,37.0,5.43,2.01,0.14,0.37,17.6,0.60,0.21,0.25,0.88,0.69,0.13,0.07,0.05,Matches
2195,Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Osasuna,es La Liga,34-083,1987,13.7,0.07,0.95,0.15,15.4,0.95,0.15,0.08,0.50,25.0,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.04,Matches
2196,Valentin Rongier\Valentin-Rongier,fr FRA,MF,Marseille,fr Ligue 1,26-148,1994,19.7,0.05,0.76,0.25,33.3,0.76,0.25,0.07,0.20,23.2,0.00,0.00,0.00,0.04,0.04,0.06,0.01,0.01,Matches
2197,Marten de Roon\Marten-de-Roon,nl NED,MF,Atalanta,it Serie A,30-036,1991,29.6,0.03,0.61,0.10,16.7,0.61,0.10,0.06,0.33,25.5,0.00,0.00,0.00,0.02,0.02,0.04,0.01,0.01,Matches
2198,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,28-118,1993,13.5,0.00,0.81,0.15,18.2,0.81,0.15,0.00,0.00,22.7,0.00,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
2199,Nolan Roux\Nolan-Roux,fr FRA,FW,Nîmes,fr Ligue 1,33-064,1988,7.2,0.00,1.39,0.14,10.0,1.38,0.14,0.00,0.00,21.1,0.00,0.00,0.00,0.07,0.07,0.05,-0.07,-0.07,Matches
2200,Nicolò Rovella\Nicolo-Rovella,it ITA,MF,Genoa,it Serie A,19-151,2001,10.3,0.00,0.78,0.10,12.5,0.78,0.10,0.00,0.00,20.4,0.10,0.00,0.00,0.05,0.05,0.06,-0.05,-0.05,Matches
2201,Amir Rrahmani\Amir-Rrahmani,xk KVX,DF,Napoli,it Serie A,27-069,1994,8.2,0.00,0.24,0.00,0.0,0.25,0.00,0.00,,10.0,0.00,0.00,0.00,0.02,0.02,0.09,-0.02,-0.02,Matches
2202,Rubén\Ruben,es ESP,GKMF,Osasuna,es La Liga,36-316,1984,2.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2203,Waldo Rubio\Waldo-Rubio,es ESP,FW,Valladolid,es La Liga,25-260,1995,4.2,0.24,1.90,0.24,12.5,1.92,0.24,0.00,0.00,23.1,0.00,0.24,0.24,0.24,0.07,0.03,0.00,-0.07,Matches
2204,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,eng Premier League,34-192,1986,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2205,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,eng Premier League,28-062,1993,16.0,0.00,0.75,0.31,41.7,0.75,0.31,0.00,0.00,17.7,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
2206,Sebastian Rudy\Sebastian-Rudy,de GER,MFDF,Hoffenheim,de Bundesliga,31-065,1990,18.3,0.05,0.82,0.44,53.3,0.82,0.44,0.07,0.13,22.0,0.11,0.00,0.00,0.03,0.03,0.04,0.02,0.02,Matches
2207,Sebastian Rudy\Sebastian-Rudy,de GER,DF,Schalke 04,de Bundesliga,31-065,1990,2.0,0.00,0.50,0.00,0.0,0.50,0.00,0.00,,24.5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
2208,Kevin Rüegg\Kevin-Ruegg,ch SUI,MFDF,Hellas Verona,it Serie A,22-272,1998,1.3,0.00,0.77,0.77,100.0,0.74,0.74,0.00,0.00,24.7,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
2209,Daniele Rugani\Daniele-Rugani,it ITA,DF,Rennes,fr Ligue 1,26-279,1994,1.0,0.00,1.00,1.00,100.0,1.00,1.00,0.00,0.00,8.0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
2210,Daniele Rugani\Daniele-Rugani,it ITA,DF,Cagliari,it Serie A,26-279,1994,10.1,0.10,0.30,0.10,33.3,0.30,0.10,0.33,1.00,6.0,0.00,0.00,0.00,0.04,0.04,0.13,0.06,0.06,Matches
2211,Matteo Ruggeri\Matteo-Ruggeri,it ITA,DF,Atalanta,it Serie A,18-297,2002,2.3,0.00,0.43,0.00,0.0,0.43,0.00,0.00,,16.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
2212,Mário Rui\Mario-Rui,pt POR,DF,Napoli,it Serie A,29-342,1991,18.0,0.00,0.94,0.06,5.9,0.94,0.06,0.00,0.00,23.0,0.11,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
2213,Aitor Ruibal\Aitor-Ruibal,es ESP,FWMF,Betis,es La Liga,25-043,1996,16.1,0.12,1.93,0.81,41.9,1.92,0.81,0.06,0.15,17.1,0.00,0.00,0.00,0.15,0.15,0.08,-0.02,-0.02,Matches
2214,Fabián Ruiz Peña\Fabian-Ruiz-Pena,es ESP,MF,Napoli,it Serie A,25-031,1996,24.5,0.08,1.63,0.53,32.5,1.63,0.53,0.05,0.15,21.0,0.04,0.00,0.00,0.11,0.11,0.06,-0.02,-0.02,Matches
2215,Isma Ruiz\Isma-Ruiz,es ESP,MF,Granada,es La Liga,20-079,2001,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2216,Kays Ruiz\Kays-Ruiz,ma MAR,FWMF,Paris S-G,fr Ligue 1,18-251,2002,2.1,0.00,0.95,0.00,0.0,0.97,0.00,0.00,,22.3,0.00,0.00,0.00,0.05,0.05,0.03,-0.05,-0.05,Matches
2217,Víctor Ruiz\Victor-Ruiz,es ESP,DF,Betis,es La Liga,32-099,1989,20.0,0.05,0.15,0.15,100.0,0.15,0.15,0.33,0.33,13.6,0.00,0.00,0.00,0.02,0.02,0.12,0.03,0.03,Matches
2218,Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Villarreal,es La Liga,28-349,1992,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2219,Georginio Rutter\Georginio-Rutter,fr FRA,FWMF,Hoffenheim,de Bundesliga,19-014,2002,2.3,0.43,2.61,0.87,33.3,2.62,0.87,0.17,0.50,16.6,0.00,0.00,0.00,0.13,0.13,0.05,0.30,0.30,Matches
2220,Georginio Rutter\Georginio-Rutter,fr FRA,FWMF,Rennes,fr Ligue 1,19-014,2002,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2221,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,eng Premier League,29-026,1992,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2222,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,eng Premier League,29-026,1992,11.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2223,Julian Ryerson\Julian-Ryerson,no NOR,DF,Union Berlin,de Bundesliga,23-168,1997,10.8,0.00,0.56,0.00,0.0,0.56,0.00,0.00,,22.3,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
2224,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,de Bundesliga,28-273,1992,10.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2225,João Victor Santos Sá\Joao-Victor-Santos-Sa,br BRA,FW,Wolfsburg,de Bundesliga,27-038,1994,4.8,0.00,1.88,0.21,11.1,1.87,0.21,0.00,0.00,15.6,0.00,0.00,0.00,0.10,0.10,0.05,-0.10,-0.10,Matches
2226,Roli Pereira de Sa\Roli-Pereira-de-Sa,fr FRA,MF,Nantes,fr Ligue 1,24-145,1996,0.4,0.00,7.50,0.00,0.0,7.71,0.00,0.00,,21.6,0.00,0.00,0.00,0.75,0.75,0.09,-0.75,-0.75,Matches
2227,Idriss Saadi\Idriss-Saadi,dz ALG,FWMF,Strasbourg,fr Ligue 1,29-085,1992,1.4,0.00,3.57,1.43,40.0,3.60,1.44,0.00,0.00,10.6,0.00,0.00,0.00,0.93,0.93,0.26,-0.93,-0.93,Matches
2228,Youssouf Sabaly\Youssouf-Sabaly,sn SEN,DF,Bordeaux,fr Ligue 1,28-060,1993,29.3,0.00,0.34,0.03,10.0,0.34,0.03,0.00,0.00,23.2,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
2229,Marcel Sabitzer\Marcel-Sabitzer,at AUT,MF,RB Leipzig,de Bundesliga,27-048,1994,19.5,0.36,2.51,0.92,36.7,2.51,0.92,0.08,0.22,23.7,0.26,0.15,0.15,0.30,0.18,0.07,0.06,0.02,Matches
2230,Alexis Saelemaekers\Alexis-Saelemaekers,be BEL,FW,Milan,it Serie A,21-311,1999,20.1,0.10,1.24,0.30,24.0,1.24,0.30,0.08,0.33,17.1,0.00,0.00,0.00,0.14,0.14,0.11,-0.04,-0.04,Matches
2231,Modibo Sagnan\Modibo-Sagnan,ml MLI,DFMF,Real Sociedad,es La Liga,22-020,1999,6.3,0.00,0.79,0.16,20.0,0.80,0.16,0.00,0.00,24.1,0.16,0.00,0.00,0.10,0.10,0.12,-0.10,-0.10,Matches
2232,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,FWMF,Newcastle Utd,eng Premier League,24-053,1997,13.9,0.22,1.80,0.72,40.0,1.80,0.72,0.12,0.30,19.7,0.00,0.00,0.00,0.14,0.14,0.07,0.08,0.08,Matches
2233,Borja Sainz\Borja-Sainz,es ESP,MFFW,Alavés,es La Liga,20-092,2001,5.0,0.20,1.60,0.80,50.0,1.59,0.80,0.13,0.25,16.0,0.00,0.00,0.00,0.22,0.22,0.14,-0.02,-0.02,Matches
2234,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,eng Premier League,31-039,1990,24.7,0.12,1.05,0.45,42.3,1.05,0.44,0.12,0.27,12.0,0.08,0.00,0.00,0.13,0.13,0.12,-0.01,-0.01,Matches
2235,Bukayo Saka\Bukayo-Saka,eng ENG,FWDF,Arsenal,eng Premier League,19-241,2001,25.7,0.19,2.33,0.78,33.3,2.33,0.78,0.08,0.25,15.8,0.04,0.00,0.00,0.26,0.26,0.11,-0.07,-0.07,Matches
2236,Hiroki Sakai\Hiroki-Sakai,jp JPN,DF,Marseille,fr Ligue 1,31-022,1990,25.2,0.00,0.08,0.00,0.0,0.08,0.00,0.00,,10.4,0.00,0.00,0.00,0.00,0.00,0.05,-0.00,-0.00,Matches
2237,Moïse Sakava\Moise-Sakava,cm CMR,MF,Reims,fr Ligue 1,20-129,2000,0.1,0.00,10.0,0.00,0.0,11.25,0.00,0.00,,24.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
2238,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,eng Premier League,31-080,1990,3.1,0.00,0.32,0.00,0.0,0.33,0.00,0.00,,12.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
2239,Jacopo Sala\Jacopo-Sala,it ITA,DF,Spezia,it Serie A,29-150,1991,4.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2240,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,eng Premier League,28-323,1992,29.3,0.68,3.34,1.30,38.8,3.35,1.30,0.14,0.37,16.1,0.03,0.20,0.20,0.59,0.44,0.13,0.09,0.04,Matches
2241,Eddy Salcedo\Eddy-Salcedo,it ITA,FWMF,Hellas Verona,it Serie A,19-215,2001,7.2,0.28,2.36,1.11,47.1,2.36,1.11,0.12,0.25,14.7,0.00,0.00,0.00,0.32,0.32,0.13,-0.04,-0.04,Matches
2242,William Saliba\William-Saliba,fr FRA,DF,Nice,fr Ligue 1,20-041,2001,17.0,0.00,0.29,0.00,0.0,0.29,0.00,0.00,,8.7,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches
2243,Romain Salin\Romain-Salin,fr FRA,GK,Rennes,fr Ligue 1,36-279,1984,15.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2244,Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Southampton,eng Premier League,22-017,1999,5.9,0.00,0.51,0.17,33.3,0.51,0.17,0.00,0.00,12.5,0.00,0.00,0.00,0.05,0.05,0.11,-0.05,-0.05,Matches
2245,Roland Sallai\Roland-Sallai,hu HUN,MFFW,Freiburg,de Bundesliga,23-347,1997,16.2,0.49,2.72,1.17,43.2,2.71,1.17,0.16,0.37,15.6,0.19,0.06,0.06,0.41,0.36,0.13,0.09,0.07,Matches
