,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
859,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,de Bundesliga,32-092,1989,5.7,29.6,28.1,1.58,0.18,0.35,8.60,0.53,1.75,0.18,0.00,0.00,0.00,16.8,7.54,5.26,5.96,18.1,2.63,0.18,0.70,18.6,0.18,0.53,1.40,1.23,Matches
860,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,eng Premier League,29-214,1991,27.5,40.2,38.8,1.42,0.11,0.25,8.95,0.33,1.05,0.07,0.00,0.00,0.00,31.5,5.75,2.95,5.05,32.7,1.13,0.51,0.33,32.1,0.07,0.11,1.75,1.53,Matches
861,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,es La Liga,24-255,1996,2.7,73.3,65.6,7.78,1.48,0.00,8.52,0.00,1.48,0.00,0.00,0.00,0.00,59.6,10.7,2.96,54.1,10.7,1.48,6.30,0.37,66.7,0.74,0.00,1.85,1.48,Matches
862,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,eng Premier League,29-253,1991,24.6,42.9,39.0,3.90,1.10,0.08,5.37,1.38,1.14,2.07,1.14,0.28,0.33,28.7,5.53,8.66,37.0,3.17,1.59,0.24,0.57,33.1,0.12,0.65,1.02,0.93,Matches
863,Alexis Flips\Alexis-Flips,fr FRA,MF,Reims,fr Ligue 1,21-106,2000,0.2,20.0,15.0,5.00,0.00,0.00,10.0,5.00,0.00,5.00,5.00,0.00,0.00,10.0,5.00,5.00,0.00,20.0,0.00,0.00,0.00,10.0,0.00,5.00,0.00,0.00,Matches
864,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DF,Paris S-G,fr Ligue 1,30-054,1991,17.0,58.2,51.9,6.24,0.41,0.00,3.94,1.59,4.18,0.18,0.06,0.12,0.00,36.9,10.4,10.9,3.12,46.9,1.88,5.65,0.18,48.2,0.12,1.29,1.18,0.88,Matches
865,Kingsley Fobi\Kingsley-Fobi,gh GHA,DF,Granada,es La Liga,22-226,1998,0.5,24.0,14.0,10.0,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,6.00,10.0,2.00,10.0,2.00,10.0,0.00,16.0,0.00,0.00,2.00,0.00,Matches
866,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,eng Premier League,20-341,2000,16.1,47.5,44.2,3.29,0.19,0.00,7.02,1.68,2.17,2.61,0.43,1.49,0.25,37.5,4.41,5.59,42.3,3.17,1.06,0.37,0.06,38.9,0.25,0.62,0.93,1.74,Matches
867,Mamadou Fofana\Mamadou-Fofana,ml MLI,MFDF,Metz,fr Ligue 1,23-103,1998,11.4,36.8,35.7,1.14,1.14,0.00,5.00,0.61,0.00,0.00,0.00,0.00,0.00,27.1,3.33,6.40,6.14,28.2,2.28,0.00,0.09,30.8,0.00,0.61,0.70,0.53,Matches
868,Seko Fofana\Seko-Fofana,ci CIV,MF,Lens,fr Ligue 1,25-362,1995,22.7,50.1,49.3,0.79,0.31,0.13,7.62,0.97,0.84,0.00,0.00,0.00,0.00,41.9,3.66,4.58,9.21,37.9,1.59,0.18,0.35,43.0,0.09,0.48,0.84,1.15,Matches
869,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,eng Premier League,20-138,2000,21.9,66.4,62.8,3.61,1.51,0.09,6.44,1.46,0.05,0.00,0.00,0.00,0.00,52.5,5.62,8.26,5.30,54.7,2.28,2.10,0.09,58.1,0.09,1.14,0.78,0.41,Matches
870,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,20-138,2000,3.5,52.6,50.0,2.57,1.14,0.00,4.57,0.57,0.29,0.00,0.00,0.00,0.00,38.3,6.00,8.29,1.43,46.3,2.57,1.43,0.00,42.3,0.86,1.14,0.29,0.86,Matches
871,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Monaco,fr Ligue 1,22-114,1999,29.1,53.3,51.4,1.82,1.20,0.14,7.22,2.03,0.38,0.58,0.17,0.38,0.00,41.0,4.64,7.66,9.55,41.9,1.37,0.03,0.07,45.1,0.14,0.96,1.17,0.69,Matches
872,Thomas Foket\Thomas-Foket,be BEL,DF,Reims,fr Ligue 1,26-221,1994,34.0,50.5,39.8,10.6,0.76,0.00,5.26,1.15,1.32,0.00,0.00,0.00,0.00,29.5,12.3,8.68,4.00,34.6,1.50,9.88,0.06,40.0,0.12,1.06,1.62,1.65,Matches
873,Ramón Folch\Ramon-Folch,es ESP,MF,Elche,es La Liga,31-212,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
874,Lamine Fomba\Lamine-Fomba,fr FRA,MF,Nîmes,fr Ligue 1,23-098,1998,22.3,30.2,29.7,0.45,0.36,0.04,4.48,0.67,0.13,0.00,0.00,0.00,0.00,22.3,4.80,3.09,4.26,23.5,1.39,0.04,0.22,24.8,0.00,0.63,0.99,0.58,Matches
875,Thomas Fontaine\Thomas-Fontaine,mg MAD,DF,Lorient,fr Ligue 1,29-361,1991,3.6,27.8,25.0,2.78,2.78,0.00,1.94,1.39,0.00,0.00,0.00,0.00,0.00,20.6,2.22,5.00,16.4,10.0,0.56,0.00,0.28,24.7,0.00,0.83,0.00,0.56,Matches
876,José Fontán\Jose-Fontan,es ESP,DF,Celta Vigo,es La Liga,21-082,2000,7.2,47.2,43.6,3.61,0.56,0.00,5.56,1.53,0.97,0.00,0.00,0.00,0.00,33.5,6.11,7.64,36.4,5.97,1.53,3.06,0.00,38.6,0.14,0.42,1.11,1.25,Matches
877,José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,37-133,1983,33.4,65.3,63.4,1.92,1.74,0.00,4.67,2.37,0.33,0.03,0.00,0.00,0.00,52.4,3.92,8.95,6.59,54.3,2.63,0.12,0.36,59.1,0.09,0.75,0.36,0.51,Matches
878,Fernando Forestieri\Fernando-Forestieri,it ITA,FWMF,Udinese,it Serie A,31-109,1990,4.9,35.1,33.3,1.84,0.61,0.20,7.55,0.82,1.84,0.00,0.00,0.00,0.00,25.1,5.31,4.69,2.04,29.6,1.43,0.41,0.61,26.9,0.00,0.41,1.02,1.84,Matches
879,Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,eng Premier League,25-071,1996,24.6,35.9,35.1,0.81,0.08,0.08,6.42,0.57,0.98,0.04,0.00,0.00,0.00,26.3,4.84,4.76,3.46,29.7,1.50,0.16,0.53,27.8,0.20,0.53,1.18,1.34,Matches
880,Emil Forsberg\Emil-Forsberg,se SWE,FWMF,RB Leipzig,de Bundesliga,29-193,1991,14.9,35.2,31.6,3.56,0.60,0.40,6.98,1.14,0.81,1.68,0.40,1.07,0.07,25.7,3.96,5.50,2.35,30.0,1.07,0.20,1.07,27.2,0.13,0.87,1.07,1.34,Matches
881,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,33-048,1988,6.0,36.3,22.3,14.0,5.50,0.00,3.67,1.00,0.00,0.00,0.00,0.00,0.00,10.8,1.17,24.3,5.67,24.7,0.00,0.00,3.50,18.5,0.33,1.50,1.17,0.17,Matches
882,Philipp Förster\Philipp-Forster,de GER,FWMF,Stuttgart,de Bundesliga,26-089,1995,14.2,42.3,40.2,2.11,0.56,0.00,10.1,0.35,0.85,0.56,0.35,0.14,0.07,32.0,6.06,4.30,34.4,4.72,1.27,0.85,0.49,33.2,0.35,0.49,1.62,2.04,Matches
883,Steven Fortes\Steven-Fortes,cv CPV,DF,Lens,fr Ligue 1,29-017,1992,14.9,57.0,55.0,2.01,1.95,0.00,5.44,1.81,0.07,0.00,0.00,0.00,0.00,46.0,3.42,7.58,8.39,44.3,3.15,0.07,0.07,49.9,0.00,1.21,0.94,0.54,Matches
884,Yassin Fortune\Yassin-Fortune,fr FRA,FW,Angers,fr Ligue 1,22-094,1999,0.2,20.0,15.0,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,15.0,5.00,0.00,10.0,10.0,0.00,0.00,0.00,15.0,0.00,0.00,5.00,0.00,Matches
885,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,23-122,1998,0.9,83.3,78.9,4.44,0.00,0.00,8.89,0.00,5.56,0.00,0.00,0.00,0.00,68.9,7.78,6.67,8.89,66.7,1.11,4.44,1.11,72.2,0.00,1.11,1.11,2.22,Matches
886,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,23-122,1998,4.5,78.2,68.7,9.56,1.11,0.00,12.0,2.22,1.11,0.00,0.00,0.00,0.00,55.6,11.1,11.6,8.67,57.3,1.78,8.44,0.22,67.6,0.00,0.22,1.56,0.89,Matches
887,Daam Foulon\Daam-Foulon,be BEL,DF,Benevento,it Serie A,22-042,1999,10.7,41.4,32.7,8.69,1.40,0.00,3.74,0.37,1.78,0.09,0.00,0.09,0.00,24.6,7.38,9.44,27.7,4.39,1.50,7.20,0.00,30.5,0.09,1.68,0.65,1.96,Matches
888,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,es La Liga,28-042,1993,25.6,37.1,25.6,11.6,0.23,0.00,4.69,0.51,1.29,0.00,0.00,0.00,0.00,16.0,11.2,9.96,3.36,20.2,1.68,11.3,0.12,28.1,0.08,1.02,0.55,1.72,Matches
889,Juan Foyth\Juan-Foyth,ar ARG,DFMF,Villarreal,es La Liga,23-112,1998,13.0,56.5,51.5,5.00,1.62,0.15,8.85,1.23,0.15,0.00,0.00,0.00,0.00,42.4,7.23,6.85,5.38,43.2,2.54,3.38,0.31,50.0,0.00,0.69,0.77,0.85,Matches
890,Gianluca Frabotta\Gianluca-Frabotta,it ITA,DF,Juventus,it Serie A,21-314,1999,7.7,62.9,54.0,8.83,1.04,0.13,6.49,0.91,4.03,0.13,0.00,0.00,0.00,41.4,13.1,8.31,47.7,4.81,1.43,7.66,0.00,52.3,0.13,1.69,1.04,2.21,Matches
891,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,de Bundesliga,25-240,1995,16.6,43.6,32.8,10.7,0.60,0.06,7.47,0.84,2.53,0.00,0.00,0.00,0.00,18.3,14.6,10.7,0.96,28.6,2.83,10.1,0.12,28.7,0.24,1.51,1.51,2.35,Matches
892,Ryan Fraser\Ryan-Fraser,sco SCO,FWMF,Newcastle Utd,eng Premier League,27-069,1994,10.3,35.8,29.6,6.21,0.97,0.10,4.76,1.84,5.05,4.37,0.97,2.33,0.58,19.2,5.34,11.3,5.34,26.8,2.23,0.68,0.29,23.6,0.10,0.19,0.58,1.84,Matches
893,Fred\Fred,br BRA,MF,Manchester Utd,eng Premier League,28-060,1993,23.9,65.6,63.4,2.18,1.92,0.25,8.24,1.92,0.29,0.00,0.00,0.00,0.00,53.2,6.61,5.73,46.0,18.2,0.75,0.25,0.17,57.8,0.13,0.88,1.63,1.38,Matches
894,Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,eng Premier League,28-206,1992,6.0,42.0,36.3,5.67,0.67,0.00,4.67,0.17,3.00,0.00,0.00,0.00,0.00,23.0,7.17,11.8,3.17,28.8,4.33,5.00,0.00,30.0,0.00,0.67,0.50,1.50,Matches
895,Remo Freuler\Remo-Freuler,ch SUI,MF,Atalanta,it Serie A,29-019,1992,26.8,67.3,64.1,3.13,2.43,0.07,8.06,1.31,0.60,0.07,0.00,0.00,0.00,53.8,6.12,7.39,9.70,53.7,2.05,0.63,0.30,58.8,0.15,0.63,1.38,0.93,Matches
896,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,de Bundesliga,23-049,1998,29.6,53.4,49.4,4.09,2.53,0.00,4.63,3.89,0.30,0.44,0.14,0.17,0.00,35.1,4.86,13.5,37.0,12.6,1.86,1.11,0.24,43.2,0.10,0.98,0.91,0.81,Matches
897,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,de Bundesliga,25-142,1995,31.0,54.2,52.8,1.39,1.13,0.03,6.32,1.65,0.26,0.00,0.00,0.00,0.00,37.1,4.81,12.3,7.10,42.9,2.16,0.26,0.29,43.9,0.16,0.97,1.00,0.97,Matches
898,Jeremie Frimpong\Jeremie-Frimpong,nl NED,DFFW,Leverkusen,de Bundesliga,20-145,2000,4.8,58.1,49.6,8.54,0.21,0.00,7.08,0.42,3.33,0.00,0.00,0.00,0.00,41.0,10.6,6.46,5.42,43.1,0.83,8.33,0.00,48.3,0.21,0.21,1.25,2.71,Matches
899,Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Levante,es La Liga,24-073,1997,20.3,29.9,27.2,2.71,0.15,0.10,5.27,0.84,2.96,1.33,0.25,0.39,0.00,18.4,6.06,5.47,2.56,24.3,1.23,1.23,0.15,20.7,0.10,0.49,1.18,1.87,Matches
900,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,eng Premier League,35-027,1986,7.8,75.5,66.2,9.36,1.79,0.13,5.77,1.41,1.03,0.00,0.00,0.00,0.00,49.6,10.9,15.0,57.4,5.00,3.46,7.56,0.13,61.3,0.00,0.90,1.41,1.41,Matches
901,Angelo Fulgini\Angelo-Fulgini,fr FRA,MF,Angers,fr Ligue 1,24-257,1996,27.5,52.4,48.2,4.18,1.45,0.51,8.80,1.96,1.53,2.04,0.44,0.87,0.36,38.4,6.47,7.53,5.42,44.6,0.98,0.18,0.69,42.0,0.18,0.65,1.67,1.16,Matches
902,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Werder Bremen,de Bundesliga,28-084,1993,7.9,27.7,26.6,1.14,0.00,0.00,8.73,0.13,0.13,0.00,0.00,0.00,0.00,11.1,7.72,8.86,3.54,13.7,4.56,0.38,1.14,16.1,0.00,0.25,1.01,1.77,Matches
903,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,es La Liga,30-060,1991,6.1,60.3,59.0,1.31,0.82,0.00,5.90,0.98,0.33,0.00,0.00,0.00,0.00,46.9,4.59,8.85,27.2,29.2,2.13,0.49,0.16,52.6,0.49,1.15,0.82,0.66,Matches
904,Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,eng Premier League,25-185,1995,28.6,36.8,27.1,9.69,0.59,0.00,5.49,0.87,2.17,0.03,0.00,0.00,0.03,12.7,8.78,15.3,0.94,21.0,2.87,9.06,0.07,21.9,0.21,1.36,0.59,1.40,Matches
905,Daniel Fuzato\Daniel-Fuzato,br BRA,GK,Roma,it Serie A,23-304,1997,1.0,50.0,34.0,16.0,6.00,0.00,12.0,1.00,0.00,0.00,0.00,0.00,0.00,26.0,2.00,22.0,2.00,38.0,0.00,0.00,10.0,33.0,0.00,2.00,1.00,0.00,Matches
906,Baptiste Gabard\Baptiste-Gabard,fr FRA,MF,Saint-Étienne,fr Ligue 1,21-096,2000,1.5,36.7,36.0,0.67,0.67,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,32.7,0.67,3.33,28.0,7.33,0.67,0.00,0.00,28.7,0.00,0.00,4.00,1.33,Matches
907,Matteo Gabbia\Matteo-Gabbia,it ITA,DF,Milan,it Serie A,21-195,1999,6.2,57.6,56.1,1.45,1.29,0.00,4.19,1.61,0.00,0.00,0.00,0.00,0.00,46.9,4.03,6.61,8.55,43.7,3.06,0.16,0.16,53.4,0.00,0.32,0.16,0.16,Matches
908,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FWMF,Sampdoria,it Serie A,29-159,1991,7.4,20.0,19.9,0.14,0.00,0.27,5.95,0.54,0.81,0.00,0.00,0.00,0.00,11.6,3.92,4.46,15.0,2.16,1.49,0.00,0.68,13.8,0.27,0.27,1.08,0.54,Matches
909,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,DFMF,Hoffenheim,de Bundesliga,26-085,1995,8.8,48.7,40.7,8.07,0.68,0.00,5.23,1.25,2.05,0.57,0.11,0.23,0.11,27.8,12.5,8.41,9.20,29.2,2.50,6.70,0.45,37.3,0.00,0.68,1.02,2.95,Matches
910,Roberto Gagliardini\Roberto-Gagliardini,it ITA,MF,Inter,it Serie A,27-027,1994,12.0,44.3,43.3,1.08,0.92,0.00,7.67,1.25,0.92,0.08,0.00,0.00,0.00,34.7,4.92,4.75,4.50,37.2,1.17,0.08,0.17,37.8,0.17,0.33,1.08,0.83,Matches
911,Riccardo Gagliolo\Riccardo-Gagliolo,se SWE,DF,Parma,it Serie A,31-006,1990,20.2,62.9,56.0,6.88,1.83,0.00,5.15,1.44,1.68,0.00,0.00,0.00,0.00,39.9,8.47,14.5,40.0,15.2,1.93,5.00,0.20,50.9,0.15,0.64,1.39,0.89,Matches
912,Adolfo Gaich\Adolfo-Gaich,ar ARG,FW,Benevento,it Serie A,22-087,1999,6.9,16.1,15.2,0.87,0.00,0.14,4.06,0.14,0.29,0.00,0.00,0.00,0.00,8.70,5.65,1.74,0.72,11.7,1.88,0.00,0.72,10.4,0.00,0.43,0.43,0.72,Matches
913,Andrey Galabinov\Andrey-Galabinov,bg BUL,FW,Spezia,it Serie A,32-158,1988,4.8,22.7,18.8,3.96,0.21,0.21,5.21,0.63,0.21,0.00,0.00,0.00,0.00,12.1,5.63,5.00,3.96,14.2,1.88,0.00,1.25,16.7,0.42,1.04,0.42,0.21,Matches
914,Javi Galán\Javi-Galan,es ESP,DF,Huesca,es La Liga,26-166,1994,31.6,53.3,41.9,11.3,1.08,0.00,5.76,1.42,3.04,0.63,0.35,0.16,0.03,29.9,12.3,11.0,40.0,2.28,1.17,9.62,0.00,41.3,0.25,1.46,1.01,2.12,Matches
915,Conor Gallagher\Conor-Gallagher,eng ENG,MF,West Brom,eng Premier League,21-087,2000,24.1,34.9,33.3,1.54,0.41,0.00,6.64,0.95,1.12,0.62,0.33,0.04,0.08,24.1,4.40,6.35,3.36,28.9,1.70,0.08,0.17,27.6,0.08,0.46,1.08,1.04,Matches
916,Enric Gallego\Enric-Gallego,es ESP,FW,Osasuna,es La Liga,34-234,1986,7.7,30.9,29.7,1.17,0.00,0.13,12.5,0.52,0.91,0.00,0.00,0.00,0.00,10.9,11.3,8.70,13.0,2.60,4.81,0.00,1.56,17.4,0.00,1.30,0.52,1.69,Matches
917,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,es La Liga,33-360,1987,11.6,22.2,20.3,1.98,0.09,0.00,5.26,0.09,0.17,0.00,0.00,0.00,0.00,16.8,3.10,2.33,1.29,18.6,1.38,0.17,0.09,17.5,0.17,0.17,0.34,1.03,Matches
918,Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Paris S-G,fr Ligue 1,31-220,1989,17.1,97.0,95.1,1.93,1.46,0.06,11.5,1.17,0.35,0.00,0.00,0.00,0.00,87.5,4.62,4.85,7.19,86.6,1.40,0.47,0.41,90.1,0.12,0.53,1.75,0.64,Matches
919,Ignatius Ganago\Ignatius-Ganago,cm CMR,FW,Lens,fr Ligue 1,22-077,1999,11.9,19.7,18.2,1.51,0.00,0.08,5.04,0.42,1.18,0.08,0.00,0.00,0.00,13.2,4.12,2.44,2.35,14.4,1.60,0.17,0.17,14.1,0.00,0.59,0.76,0.84,Matches
920,Aleix García\Aleix-Garcia,es ESP,MF,Eibar,es La Liga,23-310,1997,4.7,53.8,49.4,4.47,1.49,0.00,6.60,4.26,0.64,2.77,1.91,0.85,0.00,37.4,5.32,11.1,8.30,41.3,2.34,0.21,0.43,44.0,0.21,1.06,0.64,0.64,Matches
921,Borja García\Borja-Garcia,es ESP,MFFW,Huesca,es La Liga,30-183,1990,12.3,44.9,43.6,1.30,0.33,0.24,8.13,1.06,0.65,0.16,0.00,0.08,0.00,32.0,7.32,5.53,3.90,38.6,1.38,0.00,0.41,38.4,0.41,0.24,0.65,1.30,Matches
922,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,es La Liga,30-345,1990,20.6,49.0,47.3,1.65,1.31,0.05,7.67,2.14,0.24,0.00,0.00,0.00,0.00,32.7,6.07,10.2,7.33,36.8,3.01,0.19,0.15,40.9,0.15,1.21,0.73,0.53,Matches
923,David García\David-Garcia,es ESP,DF,Osasuna,es La Liga,27-079,1994,31.0,36.5,34.9,1.58,1.48,0.03,5.74,1.55,0.13,0.00,0.00,0.00,0.00,18.0,5.10,13.4,11.1,17.8,4.26,0.10,0.13,27.1,0.19,1.03,0.65,0.35,Matches
924,Eric García\Eric-Garcia,es ESP,DF,Manchester City,eng Premier League,20-115,2001,2.4,98.3,96.7,1.67,1.67,0.00,5.42,0.83,0.00,0.00,0.00,0.00,0.00,86.3,5.83,6.25,9.17,85.8,2.08,0.00,0.42,92.1,0.42,1.25,0.83,0.42,Matches
925,Manu García\Manu-Garcia,es ESP,MF,Alavés,es La Liga,35-008,1986,10.4,31.8,31.1,0.77,0.29,0.00,7.21,0.67,0.48,0.00,0.00,0.00,0.00,19.1,3.94,8.75,17.1,8.75,2.88,0.29,0.19,22.3,0.19,0.67,1.06,0.77,Matches
926,Raúl García\Raul-Garcia,es ESP,DFMF,Valladolid,es La Liga,32-004,1989,5.6,51.3,39.1,12.1,0.71,0.00,4.82,0.89,3.57,0.00,0.00,0.00,0.00,22.3,12.9,16.1,32.3,2.14,3.04,11.4,0.00,35.5,0.18,1.07,1.07,3.39,Matches
927,Raúl García\Raul-Garcia,es ESP,FWMF,Athletic Club,es La Liga,34-297,1986,18.7,30.3,29.7,0.59,0.05,0.32,9.41,0.53,0.80,0.05,0.05,0.00,0.00,13.5,6.58,10.3,3.96,16.8,3.96,0.05,0.59,18.7,0.27,1.02,0.86,1.34,Matches
928,Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,es La Liga,27-294,1993,28.2,39.6,34.9,4.68,1.74,0.00,7.41,2.94,2.94,1.95,0.74,0.89,0.11,20.6,6.84,12.1,28.9,4.79,3.12,0.78,0.28,26.1,0.21,1.67,1.45,1.70,Matches
929,Sergi García\Sergi-Garcia,es ESP,MF,Alavés,es La Liga,22-020,1999,0.2,40.0,25.0,15.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,20.0,15.0,5.00,0.00,30.0,0.00,10.0,0.00,25.0,0.00,0.00,0.00,0.00,Matches
930,Unai García\Unai-Garcia,es ESP,DF,Osasuna,es La Liga,29-090,1992,11.2,29.8,27.9,1.96,1.88,0.00,4.11,1.96,0.27,0.00,0.00,0.00,0.00,17.3,3.84,8.66,2.23,23.9,2.50,0.09,0.27,22.6,0.09,1.25,0.09,0.54,Matches
931,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,es La Liga,30-161,1990,19.6,54.1,43.2,10.9,1.12,0.00,5.82,0.87,1.53,0.05,0.00,0.00,0.00,33.7,12.1,8.27,4.18,37.4,1.99,9.69,0.10,45.7,0.36,0.82,1.07,1.68,Matches
932,Dwight Gayle\Dwight-Gayle,eng ENG,FWMF,Newcastle Utd,eng Premier League,30-199,1990,4.9,19.4,18.0,1.43,0.00,0.00,5.71,0.20,0.41,0.00,0.00,0.00,0.00,12.0,4.90,2.45,5.10,11.0,1.02,0.41,1.02,15.1,0.00,0.41,0.20,0.41,Matches
933,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Elche,es La Liga,29-122,1992,4.0,28.5,19.0,9.50,2.75,0.00,0.50,0.75,0.00,0.00,0.00,0.00,0.00,8.00,1.75,18.8,1.25,20.5,0.00,0.00,3.75,18.0,0.25,0.75,0.50,0.00,Matches
934,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,eng Premier League,25-221,1995,0.1,90.0,90.0,0.00,0.00,0.00,40.0,0.00,0.00,0.00,0.00,0.00,0.00,70.0,10.0,10.0,30.0,60.0,0.00,0.00,0.00,60.0,0.00,0.00,0.00,20.0,Matches
935,Yann Gboho\Yann-Gboho,fr FRA,MFFW,Rennes,fr Ligue 1,20-110,2001,3.4,35.3,34.7,0.59,0.00,0.00,8.24,0.29,1.47,0.00,0.00,0.00,0.00,30.3,2.94,2.06,1.76,32.1,0.29,0.59,0.00,26.8,0.29,0.88,0.59,1.47,Matches
936,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,eng Premier League,30-178,1990,23.5,22.8,14.4,8.43,1.45,0.00,0.98,0.43,0.00,0.00,0.00,0.00,0.00,13.8,0.98,8.04,1.40,17.8,0.09,0.00,3.02,17.5,0.09,0.30,0.26,0.04,Matches
937,Christian Gebauer\Christian-Gebauer,at AUT,MFFW,Arminia,de Bundesliga,27-135,1993,7.5,25.5,24.7,0.80,0.27,0.00,5.47,0.40,1.07,0.13,0.00,0.00,0.00,14.0,4.93,6.53,3.20,18.7,2.13,0.40,0.40,16.8,0.13,0.67,0.67,1.87,Matches
938,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DF,Werder Bremen,de Bundesliga,34-131,1986,30.7,45.2,35.0,10.3,0.29,0.00,5.73,0.42,0.88,0.00,0.00,0.00,0.00,21.9,10.9,12.4,2.90,28.5,2.44,9.97,0.20,34.4,0.13,0.68,1.53,1.21,Matches
939,Dennis Geiger\Dennis-Geiger,de GER,MF,Hoffenheim,de Bundesliga,22-328,1998,7.3,48.5,41.9,6.58,3.29,0.14,8.22,2.19,1.64,3.15,1.10,1.51,0.14,34.7,3.97,9.86,4.66,42.3,0.55,0.14,0.55,40.0,0.27,0.27,0.82,0.96,Matches
940,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,de Bundesliga,35-263,1985,8.9,42.8,41.8,1.01,0.56,0.11,7.75,0.34,0.67,0.00,0.00,0.00,0.00,27.0,7.42,8.43,5.28,33.3,3.15,0.00,0.56,33.7,0.11,1.12,1.01,1.24,Matches
941,Yannick Gerhardt\Yannick-Gerhardt,de GER,MFFW,Wolfsburg,de Bundesliga,27-052,1994,20.2,36.3,34.3,1.98,0.25,0.10,5.99,0.64,1.24,0.30,0.20,0.05,0.00,24.6,5.94,5.74,22.2,9.21,2.48,1.09,0.35,27.0,0.30,0.69,0.89,1.39,Matches
942,Valère Germain\Valere-Germain,fr FRA,FW,Marseille,fr Ligue 1,31-017,1990,9.5,29.8,28.1,1.68,0.11,0.00,7.89,0.42,1.05,0.00,0.00,0.00,0.00,16.3,7.79,5.68,1.89,21.3,2.63,0.32,0.21,21.5,0.21,0.11,0.95,2.11,Matches
943,Gervinho\Gervinho,ci CIV,FW,Parma,it Serie A,33-342,1987,20.9,24.1,23.3,0.77,0.05,0.05,4.59,0.10,0.91,0.00,0.00,0.00,0.00,20.7,2.20,1.20,7.27,16.5,0.05,0.05,0.29,19.8,0.10,0.14,0.57,1.34,Matches
944,Willem Geubbels\Willem-Geubbels,fr FRA,FWMF,Monaco,fr Ligue 1,19-261,2001,3.3,32.7,31.2,1.52,0.30,0.00,5.15,0.61,1.21,0.00,0.00,0.00,0.00,21.5,5.15,6.06,3.94,23.6,2.73,0.30,0.00,22.7,0.00,1.21,0.61,1.82,Matches
945,Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,ma MAR,MFFW,Stuttgart,de Bundesliga,30-224,1990,0.3,30.0,30.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,13.3,10.0,6.67,13.3,16.7,0.00,0.00,0.00,23.3,0.00,0.00,0.00,0.00,Matches
