,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
73,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,28-320,1992,0.2,30.0,30.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,15.0,10.0,5.00,0.00,20.0,10.0,0.00,0.00,25.0,0.00,0.00,0.00,0.00,Matches
74,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-214,1992,28.0,34.3,27.4,6.89,1.86,0.00,2.46,1.07,0.00,0.00,0.00,0.00,0.00,25.0,1.79,7.46,2.86,25.8,0.04,0.00,4.68,29.5,0.11,0.46,0.21,0.04,Matches
75,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-163,1993,9.0,34.6,23.2,11.3,2.78,0.00,2.00,0.89,0.00,0.00,0.00,0.00,0.00,13.9,1.33,19.3,2.11,25.4,0.00,0.11,5.56,22.3,0.11,1.00,0.11,0.00,Matches
76,Allan\Allan,br BRA,MF,Everton,eng Premier League,30-116,1991,17.8,47.2,45.7,1.52,0.96,0.00,6.52,0.73,0.11,0.00,0.00,0.00,0.00,34.2,6.69,6.35,5.00,40.3,1.29,0.17,0.22,40.5,0.11,0.39,1.24,0.67,Matches
77,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,25-023,1996,3.5,55.1,52.3,2.86,1.43,0.00,11.1,0.86,1.43,0.00,0.00,0.00,0.00,45.7,5.14,4.29,4.00,48.6,1.14,0.29,0.00,44.3,0.00,0.57,2.00,2.29,Matches
78,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,27-083,1994,23.1,32.9,31.7,1.21,0.26,0.09,5.19,0.69,1.17,0.26,0.00,0.04,0.00,25.0,4.07,3.85,30.0,1.39,0.82,0.22,0.26,26.6,0.13,0.26,0.87,1.08,Matches
79,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,30-127,1990,9.7,55.9,47.9,7.94,0.93,0.00,8.14,0.41,1.24,0.41,0.00,0.41,0.00,37.2,10.2,8.45,41.1,4.95,1.96,6.60,0.21,46.2,0.21,0.62,1.24,2.27,Matches
80,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,29-101,1992,17.1,39.5,38.7,0.82,0.64,0.00,7.43,1.40,0.35,0.00,0.00,0.00,0.00,25.0,4.97,9.59,3.74,30.0,3.63,0.12,0.06,30.7,0.06,1.17,0.47,0.70,Matches
81,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,26-100,1995,19.6,49.1,46.4,2.65,2.50,0.05,4.95,2.40,0.10,0.00,0.00,0.00,0.00,35.4,4.49,9.23,3.62,40.8,2.86,0.15,0.05,41.3,0.15,0.97,0.56,0.66,Matches
82,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,39-158,1981,16.1,52.9,50.9,1.99,1.61,0.00,3.66,3.35,0.37,0.00,0.00,0.00,0.00,36.5,5.22,11.1,8.07,39.8,2.48,0.19,0.19,45.8,0.25,0.75,0.19,0.12,Matches
