,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
91,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,54.1,2.13,13.0,32.3,11.6,1.15,52.8,0.94,1.33,71.1,1.05,0.10,30.1,153.6,62.4,3.01,0.98,0.28,0.66,0.84,32.7,29.4,90.1,2.13,Matches
92,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,63.1,0.96,12.5,45.4,10.6,0.26,61.2,1.58,1.84,85.7,1.58,0.00,49.7,281.8,144.9,6.49,1.67,0.09,0.96,1.05,47.1,44.0,93.5,1.32,Matches
93,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,31.4,0.45,1.59,18.2,12.6,2.73,29.3,1.25,1.82,68.8,1.36,0.00,17.5,53.1,20.2,1.14,0.57,0.11,2.05,1.59,44.3,24.0,54.1,8.52,Matches
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,37.7,32.2,37.6,0.23,0.00,0.00,27.5,0.15,0.15,100.0,0.15,0.00,18.8,76.8,36.0,0.00,0.00,0.00,0.00,0.00,16.8,16.8,100.0,0.00,Matches
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,66.9,3.70,16.9,36.0,18.5,0.42,52.7,0.76,0.92,83.3,0.76,0.04,34.8,189.8,100.1,4.58,2.21,0.08,0.73,0.73,33.0,31.0,94.0,0.46,Matches
96,Angeliño\Angelino,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,73.0,2.13,17.6,32.9,26.6,2.13,60.8,1.72,2.21,77.8,1.80,0.08,42.5,203.1,115.2,6.56,2.21,0.66,1.39,0.74,48.4,43.6,90.0,4.84,Matches
97,Angeliño\Angelino,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,101.5,3.40,21.1,42.3,45.5,2.13,91.3,1.06,1.70,62.5,1.06,0.43,68.3,312.6,190.2,11.5,4.68,0.00,0.64,0.85,76.8,73.0,95.0,5.32,Matches
98,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,60.0,0.00,5.00,25.0,30.0,10.0,60.0,5.00,5.00,100.0,5.00,0.00,50.0,300.0,170.0,5.00,0.00,5.00,0.00,5.00,55.0,40.0,72.7,0.00,Matches
99,Peter Ankersen\Peter-Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,61.5,2.80,19.0,25.7,20.4,2.12,55.3,1.02,1.53,66.7,1.02,0.00,42.4,164.6,96.2,3.98,1.19,0.34,0.85,0.93,46.5,42.3,90.9,3.05,Matches
100,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,1986,19.6,55.4,2.81,14.6,22.2,23.2,2.55,47.7,2.70,4.29,63.1,2.96,0.10,38.1,245.0,135.9,7.24,2.04,0.61,1.33,1.79,38.2,33.0,86.4,3.57,Matches
101,Janis Antiste\Janis-Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,110.0,0.00,0.00,70.0,50.0,0.00,80.0,10.0,10.0,100.0,10.0,0.00,90.0,510.0,90.0,0.00,0.00,0.00,0.00,10.0,60.0,60.0,100.0,10.0,Matches
102,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,43.4,0.61,2.40,15.6,28.4,6.38,41.3,3.62,5.46,66.4,3.78,0.15,30.7,132.8,78.2,4.18,1.02,1.17,3.62,2.50,57.9,31.9,55.2,12.0,Matches
103,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,31,1987,11.4,50.4,3.25,17.5,22.9,13.2,0.88,41.9,0.53,1.40,37.5,0.70,0.09,27.0,165.4,104.0,4.65,1.75,0.44,0.88,0.44,31.1,26.8,85.9,2.02,Matches
104,Mirko Antonucci\Mirko-Antonucci,it ITA,FWMF,Roma,it Serie A,20,1999,0.9,44.4,0.00,7.78,17.8,22.2,6.67,44.4,0.00,0.00,,0.00,0.00,24.4,157.8,111.1,2.22,2.22,0.00,5.56,0.00,32.2,23.3,72.4,5.56,Matches
105,Vitorino Antunes\Vitorino-Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,30.0,0.00,10.0,10.0,10.0,0.00,30.0,0.00,0.00,,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,20.0,20.0,100.0,0.00,Matches
106,Christopher Antwi-Adjei\Christopher-Antwi-Adjei,gh GHA,MFFW,Paderborn 07,de Bundesliga,25,1994,27.4,43.1,0.88,7.55,19.9,20.0,3.32,38.1,1.31,2.92,45.0,1.50,0.11,29.3,220.6,126.6,5.84,1.79,1.61,2.19,1.42,37.7,27.2,72.3,5.80,Matches
107,Anuar\Anuar,ma MAR,MFFW,Valladolid,es La Liga,24,1995,2.1,60.5,1.43,12.9,44.8,7.62,0.95,59.5,0.95,1.43,66.7,0.95,0.00,39.5,335.2,162.4,7.62,1.90,0.00,0.48,1.43,44.8,39.5,88.3,0.95,Matches
108,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,62.9,0.74,6.50,40.3,22.4,3.04,61.1,3.00,4.79,62.5,3.32,0.23,51.5,280.8,167.6,8.80,3.23,0.60,2.07,2.67,59.5,50.7,85.2,7.19,Matches
109,Adil Aouchiche\Adil-Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,57.1,0.00,10.0,32.9,17.1,1.43,57.1,4.29,4.29,100.0,4.29,0.00,40.0,178.6,62.9,2.86,1.43,0.00,5.71,0.00,51.4,41.4,80.6,5.71,Matches
110,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,65.1,3.03,24.3,31.2,12.0,0.34,54.3,1.18,1.52,77.8,1.18,0.00,34.8,159.6,84.7,3.43,0.90,0.17,0.51,1.01,36.0,33.6,93.4,0.73,Matches
111,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,40.0,1.58,7.07,25.0,10.2,0.76,38.7,0.85,1.26,67.4,0.94,0.06,21.9,116.2,43.8,1.94,0.59,0.15,1.03,1.14,21.2,18.0,84.9,1.79,Matches
112,Guilherme Arana\Guilherme-Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,75.6,2.22,28.9,27.8,22.2,3.33,64.4,0.00,2.22,0.0,1.11,1.11,48.9,246.7,140.0,4.44,1.11,0.00,1.11,1.11,46.7,43.3,92.9,4.44,Matches
113,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,79.5,2.09,16.0,55.2,12.3,0.94,78.1,0.55,0.94,59.1,0.60,0.04,52.9,218.7,97.2,3.36,0.85,0.13,0.81,0.89,61.7,57.4,93.0,2.09,Matches
114,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,23,1996,9.2,48.6,0.43,5.76,20.0,27.2,3.80,46.4,2.83,4.13,68.4,2.93,0.22,36.5,217.7,129.9,5.76,1.85,1.30,1.41,1.74,40.5,32.2,79.4,6.20,Matches
115,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,56.8,10.2,33.7,25.4,1.59,0.62,54.9,0.03,0.03,100.0,0.03,0.00,33.2,234.4,115.0,2.06,0.28,0.00,0.19,0.12,35.8,35.3,98.6,0.56,Matches
116,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,89.6,12.7,46.2,48.1,0.77,0.38,88.1,0.38,0.38,100.0,0.38,0.00,66.5,275.4,173.8,2.31,0.00,0.00,0.00,0.38,71.5,71.5,100.0,0.00,Matches
117,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,63.3,4.75,23.5,36.8,7.58,0.49,56.8,0.18,0.27,66.7,0.18,0.00,33.7,237.6,104.0,3.00,0.81,0.04,0.36,0.45,33.2,32.0,96.5,0.54,Matches
118,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,35.5,31.3,35.5,0.00,0.00,0.00,26.0,0.00,0.00,,0.00,0.00,19.3,84.0,46.3,0.00,0.00,0.00,0.00,0.25,15.5,15.5,100.0,0.00,Matches
119,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,20.0,15.0,19.7,0.33,0.00,0.00,16.0,0.00,0.00,,0.00,0.00,12.3,50.7,29.0,0.00,0.00,0.00,0.00,0.00,10.0,9.33,93.3,0.00,Matches
120,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,65.0,3.92,18.0,30.2,20.3,1.58,55.6,0.33,0.58,57.1,0.42,0.00,36.4,166.8,90.6,4.83,1.50,0.17,0.58,0.33,40.7,37.4,92.0,3.17,Matches
121,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,4,1,3,1,0,0,4,0,0,,0,0,1,7,0,0,0,0,0,0,2,2,100.0,0,Matches
122,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,46.2,2.51,8.74,21.6,19.3,2.57,45.2,1.62,2.77,58.5,1.73,0.10,31.0,181.5,98.4,4.71,1.62,0.47,1.94,1.52,38.3,29.3,76.5,4.87,Matches
123,José Arnaiz\Jose-Arnaiz,es ESP,FWMF,Osasuna,es La Liga,24,1995,8.8,34.5,0.45,2.95,16.5,16.6,4.20,33.1,0.34,0.91,37.5,0.34,0.00,22.5,110.2,55.2,3.64,0.68,1.25,3.52,2.95,40.9,23.6,57.8,9.20,Matches
124,José Arnaiz\Jose-Arnaiz,es ESP,MFFW,Leganés,es La Liga,24,1995,3.7,45.7,1.08,5.14,18.6,26.2,4.59,44.3,3.51,6.22,56.5,3.78,0.00,40.0,187.6,119.7,6.49,1.62,1.62,4.32,3.78,41.1,30.5,74.3,7.30,Matches
125,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,59.4,1.88,11.5,35.4,15.8,0.77,51.1,0.70,0.96,73.3,0.70,0.00,34.0,161.9,82.8,3.23,0.83,0.10,0.70,0.89,36.8,33.8,91.8,2.08,Matches
126,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,34.4,30.4,34.2,0.15,0.00,0.00,26.7,0.00,0.00,,0.00,0.00,20.6,79.1,45.1,0.00,0.00,0.00,0.00,0.00,19.6,19.6,100.0,0.00,Matches
127,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,60.3,3.24,16.1,24.8,23.2,3.10,54.4,1.83,2.11,86.7,1.83,0.00,40.3,178.3,121.5,6.20,1.97,1.69,0.42,1.41,42.8,39.3,91.8,3.94,Matches
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,57.4,3.43,19.6,34.6,7.00,0.00,54.7,1.00,1.43,70.0,1.00,0.00,29.9,149.9,59.0,1.00,0.71,0.00,1.29,0.29,30.6,28.6,93.5,0.57,Matches
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,33.0,30.1,33.0,0.09,0.00,0.00,22.1,0.03,0.03,100.0,0.03,0.00,14.2,57.5,28.3,0.00,0.00,0.00,0.00,0.00,13.1,13.1,99.8,0.00,Matches
130,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,54.9,0.81,7.03,25.1,26.2,4.59,53.5,1.62,2.16,75.0,1.89,0.00,41.9,218.1,97.8,7.03,1.35,0.81,1.62,2.16,58.9,44.6,75.7,6.76,Matches
131,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,53.8,1.25,16.3,36.3,7.50,0.00,53.8,2.50,3.75,66.7,2.50,0.00,38.8,237.5,182.5,7.50,3.75,0.00,1.25,1.25,47.5,40.0,84.2,0.00,Matches
132,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,46.3,0.36,3.67,24.4,21.9,4.56,43.8,1.66,2.68,61.9,1.85,0.03,34.1,193.9,106.8,5.22,1.82,0.99,1.91,1.93,54.1,36.4,67.2,9.81,Matches
133,Roger Assalé\Roger-Assale,ci CIV,FWMF,Leganés,es La Liga,25,1993,5.9,32.5,0.00,2.03,14.4,19.0,6.10,32.0,2.71,3.39,80.0,2.71,0.17,28.0,161.9,95.4,5.08,1.36,1.19,1.86,2.37,45.4,26.4,58.2,9.83,Matches
134,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,20,1999,0.3,70.0,3.33,16.7,40.0,16.7,10.0,70.0,0.00,0.00,,0.00,0.00,40.0,186.7,40.0,0.00,0.00,0.00,3.33,0.00,43.3,40.0,92.3,6.67,Matches
135,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,eng Premier League,27,1992,8.3,40.0,1.33,10.2,16.0,19.0,2.41,38.9,2.29,4.82,47.5,2.53,0.12,30.7,167.3,101.0,3.86,1.93,0.84,2.53,2.41,38.7,25.9,67.0,4.70,Matches
136,Youcef Attal\Youcef-Attal,dz ALG,FWDF,Nice,fr Ligue 1,23,1996,11.1,66.8,1.62,14.5,32.9,27.0,4.32,61.1,3.69,7.66,48.2,3.87,0.27,50.1,273.8,189.4,8.65,2.34,1.35,3.42,2.61,55.9,46.1,82.4,6.67,Matches
137,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,35.9,0.83,4.57,14.4,19.3,4.83,34.9,0.72,1.41,51.0,0.83,0.00,24.9,147.8,91.4,4.91,1.26,1.03,1.67,1.12,43.9,27.0,61.5,8.56,Matches
138,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,31.3,27.9,31.3,0.06,0.00,0.00,20.2,0.03,0.03,100.0,0.03,0.00,13.0,64.1,34.0,0.00,0.00,0.00,0.00,0.00,11.0,11.0,99.5,0.00,Matches
139,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,72.7,3.02,21.5,34.6,23.2,0.24,62.7,1.67,2.38,70.0,1.67,0.00,47.9,288.9,178.3,7.14,2.62,0.16,0.63,1.27,50.4,47.4,94.0,2.78,Matches
140,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3.0,26.7,0.33,1.67,12.7,14.0,6.33,26.3,2.67,4.00,66.7,2.67,0.33,20.7,85.7,46.3,2.33,0.33,0.33,3.00,2.33,38.3,19.0,49.6,9.33,Matches
141,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,25,1994,10.3,64.6,3.11,18.3,27.2,23.5,1.55,52.3,0.58,0.87,66.7,0.68,0.00,33.4,164.6,94.2,3.88,2.14,0.29,1.17,0.97,38.8,34.3,88.3,2.62,Matches
142,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,68.6,4.00,19.4,29.8,22.7,1.80,59.6,1.53,2.43,63.0,1.53,0.23,39.9,160.2,86.9,4.33,1.37,0.27,1.20,1.03,43.2,38.2,88.4,3.60,Matches
143,Mathias Autret\Mathias-Autret,fr FRA,MFFW,Brest,fr Ligue 1,28,1991,13.6,53.2,0.59,6.54,26.3,24.1,3.01,47.4,0.88,1.99,44.4,0.88,0.15,34.3,173.3,93.5,5.74,2.28,0.51,2.13,1.40,46.7,34.9,74.6,7.50,Matches
144,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,32.5,0.11,1.58,14.2,18.6,5.54,31.3,0.85,1.86,45.5,1.07,0.06,19.4,103.4,55.7,3.33,0.85,0.79,2.43,1.92,47.5,22.3,47.0,9.94,Matches
145,Javier Avilés\Javier-Aviles,es ESP,MFFW,Leganés,es La Liga,21,1997,2.0,51.5,0.50,8.00,20.5,30.0,5.00,51.5,2.00,3.50,57.1,2.00,0.00,38.5,288.0,183.5,9.50,4.50,0.50,0.50,3.00,46.0,35.0,76.1,7.50,Matches
146,Chidozie Awaziem\Chidozie-Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,45.6,4.82,20.2,25.0,2.79,0.63,41.2,0.14,0.23,60.0,0.14,0.00,23.4,128.2,63.9,1.40,0.41,0.00,0.23,0.18,22.9,21.9,95.5,0.59,Matches
147,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Mainz 05,de Bundesliga,21,1997,5.4,33.0,0.74,3.52,14.8,17.2,6.30,32.4,1.85,3.33,55.6,2.04,0.00,23.3,101.1,63.0,2.78,0.74,0.93,5.00,2.04,41.3,23.9,57.8,12.6,Matches
148,Florian Ayé\Florian-Aye,fr FRA,FWMF,Brescia,it Serie A,22,1997,15.3,33.0,1.50,5.16,14.5,15.2,3.92,32.3,1.44,2.16,66.7,1.50,0.07,20.5,98.7,44.5,2.48,0.65,0.46,2.68,1.70,40.7,22.2,54.4,8.10,Matches
149,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,27,1991,35.0,39.0,0.86,5.09,19.2,18.1,3.83,38.0,2.14,3.34,64.1,2.23,0.11,28.9,162.9,78.9,3.94,1.26,0.83,2.83,3.09,48.1,27.3,56.8,7.37,Matches
150,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,66.6,4.59,32.2,32.2,7.52,0.96,62.3,0.36,0.43,84.6,0.36,0.03,43.8,245.1,154.9,3.93,0.96,0.10,0.36,0.13,46.8,45.0,96.0,1.02,Matches
151,Ramon Azeez\Ramon-Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,34.6,0.73,6.69,21.1,9.14,1.39,33.5,0.20,0.53,37.5,0.20,0.00,21.2,130.7,56.8,2.25,0.79,0.20,1.13,1.06,27.9,19.9,71.3,2.98,Matches
152,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,1989,35.9,91.2,3.70,27.5,43.1,24.4,2.73,80.2,0.42,0.67,62.5,0.47,0.03,54.2,191.4,108.4,4.18,1.31,0.19,0.67,0.36,62.1,58.4,93.9,3.82,Matches
153,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,81.5,3.26,26.3,42.1,19.5,0.87,70.7,1.85,2.93,63.0,2.07,0.11,51.3,267.5,178.4,6.52,2.61,0.11,1.30,1.09,48.7,46.4,95.3,1.74,Matches
154,Iddrisu Baba\Iddrisu-Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,50.0,3.16,16.4,32.0,5.05,0.46,49.4,1.42,1.67,85.2,1.46,0.03,35.1,192.2,83.6,3.03,0.71,0.03,0.77,1.24,31.5,29.6,94.0,0.84,Matches
155,Khouma Babacar\Khouma-Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,34.0,2.09,5.06,15.9,15.4,5.57,33.0,1.08,1.96,54.8,1.08,0.00,21.5,103.2,56.1,2.34,1.14,0.89,2.91,1.58,42.1,23.9,56.8,8.23,Matches
156,Carlos Bacca\Carlos-Bacca,co COL,FWMF,Villarreal,es La Liga,32,1986,7.6,27.0,0.66,1.58,12.1,14.3,5.00,25.4,0.79,1.45,54.5,0.92,0.00,16.7,66.1,31.1,1.45,0.66,0.66,2.11,1.32,35.1,19.6,55.8,9.21,Matches
157,Milan Badelj\Milan-Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,65.7,3.41,15.6,41.4,12.0,0.68,63.1,1.19,1.48,80.8,1.36,0.00,40.6,163.9,80.7,3.64,1.02,0.06,0.80,0.91,45.5,43.7,96.0,2.22,Matches
158,Matthias Bader\Matthias-Bader,de GER,DF,Köln,de Bundesliga,22,1997,0.1,80.0,0.00,50.0,40.0,10.0,0.00,40.0,0.00,0.00,,0.00,0.00,40.0,450.0,270.0,10.0,10.0,0.00,0.00,0.00,40.0,30.0,75.0,0.00,Matches
159,Bastian Badu\Bastian-Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,2000,0.1,70.0,0.00,0.00,60.0,30.0,10.0,70.0,0.00,0.00,,0.00,0.00,30.0,40.0,10.0,0.00,10.0,0.00,0.00,0.00,120.0,60.0,50.0,40.0,Matches
160,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,es La Liga,18,2001,0.2,30.0,0.00,15.0,15.0,5.00,0.00,25.0,0.00,0.00,,0.00,0.00,10.0,50.0,0.00,0.00,0.00,0.00,0.00,0.00,30.0,15.0,50.0,5.00,Matches
161,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,27,1992,10.1,33.8,0.50,1.88,16.2,16.9,5.35,31.8,0.30,1.29,23.1,0.40,0.00,23.0,105.3,43.4,2.67,0.79,0.79,3.56,2.67,46.8,25.1,53.7,11.3,Matches
162,Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,de Bundesliga,35,1984,21.6,50.8,2.41,16.4,30.5,7.27,0.28,49.4,0.51,0.69,73.3,0.51,0.00,28.7,137.6,59.8,1.39,0.69,0.09,0.56,0.46,27.4,25.7,94.1,0.97,Matches
163,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,21,1997,12.1,52.6,0.58,5.95,24.1,28.5,4.55,48.8,3.55,6.12,58.1,3.64,0.17,40.9,240.0,133.0,7.11,2.48,0.91,2.23,1.65,50.8,37.9,74.6,10.2,Matches
164,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,1994,1.7,51.2,8.82,22.9,29.4,0.00,0.00,51.2,0.59,0.59,100.0,0.59,0.00,34.1,124.1,68.2,1.76,0.00,0.00,0.00,1.18,30.6,30.6,100.0,0.59,Matches
165,Dénys Bain\Denys-Bain,fr FRA,DF,Brest,fr Ligue 1,26,1993,14.1,58.2,12.8,43.2,17.5,0.50,0.28,56.7,0.00,0.07,0.0,0.00,0.00,37.1,200.8,77.1,0.43,0.07,0.00,0.00,0.35,39.0,38.2,97.8,0.21,Matches
166,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,eng Premier League,34,1984,4.5,56.7,4.89,13.3,21.8,22.9,0.22,45.1,0.22,0.44,50.0,0.44,0.00,30.2,103.8,60.2,3.56,0.67,0.22,0.67,0.67,33.1,30.2,91.3,1.56,Matches
167,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1.0,23.0,17.0,23.0,0.00,0.00,0.00,13.0,0.00,0.00,,0.00,0.00,5.00,16.0,8.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,100.0,0.00,Matches
168,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Monaco,fr Ligue 1,24,1994,19.1,64.6,1.62,12.0,41.4,14.9,2.04,64.0,1.62,2.93,55.4,1.73,0.10,45.3,227.7,106.6,4.29,1.10,0.21,1.57,1.78,49.0,45.5,92.9,4.08,Matches
169,Lewis Baker\Lewis-Baker,eng ENG,MF,Düsseldorf,de Bundesliga,24,1995,6.1,46.4,2.46,11.5,29.3,8.85,0.98,45.2,1.64,1.97,83.3,1.64,0.00,33.4,184.4,87.5,4.10,0.66,0.33,1.15,0.82,34.3,31.1,90.9,2.13,Matches
170,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,19,2000,1.0,100.0,4.00,34.0,53.0,19.0,0.00,95.0,1.00,1.00,100.0,1.00,0.00,80.0,267.0,79.0,3.00,2.00,0.00,2.00,1.00,88.0,86.0,97.7,2.00,Matches
171,Ridle Baku\Ridle-Baku,de GER,DFMF,Mainz 05,de Bundesliga,21,1998,26.1,58.4,2.91,17.0,28.3,17.5,0.96,52.0,1.19,2.41,49.2,1.46,0.11,34.5,174.6,97.3,4.29,1.88,0.19,1.34,1.00,35.1,31.2,89.0,2.76,Matches
172,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,27,1991,13.1,49.8,7.33,26.7,23.7,2.06,1.22,48.5,0.00,0.00,,0.00,0.00,23.5,135.7,74.7,1.83,0.23,0.00,0.15,0.00,26.3,25.1,95.6,1.15,Matches
173,Keita Baldé\Keita-Balde,sn SEN,FWMF,Monaco,fr Ligue 1,24,1995,9.5,43.9,1.26,5.16,19.9,21.6,5.26,42.2,0.63,1.26,50.0,0.63,0.11,26.6,134.2,72.9,5.05,1.68,0.95,2.63,1.79,52.8,33.2,62.7,9.47,Matches
174,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,26,1993,38.0,50.9,2.79,10.9,18.2,24.5,1.68,43.2,1.13,1.76,64.2,1.21,0.00,30.4,178.2,91.1,4.79,1.39,0.58,0.87,0.82,32.9,27.8,84.4,2.45,Matches
175,Gareth Bale\Gareth-Bale,wal WAL,FWMF,Real Madrid,es La Liga,30,1989,12.1,51.1,0.91,5.79,25.5,24.5,4.30,49.7,1.40,2.48,56.7,1.57,0.00,35.6,236.1,139.0,8.10,2.89,0.50,2.23,1.32,53.2,42.3,79.5,8.43,Matches
176,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,31,1988,6.3,50.3,2.70,14.8,24.9,12.4,0.16,41.4,0.16,0.32,50.0,0.16,0.00,23.8,112.2,61.6,2.38,0.48,0.00,0.48,0.32,25.2,23.0,91.2,0.16,Matches
177,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DFMF,Dortmund,de Bundesliga,20,1999,1.5,94.7,8.00,34.7,62.0,1.33,0.00,92.0,0.67,2.00,33.3,1.33,0.00,73.3,324.7,117.3,2.00,0.00,0.00,0.00,0.67,73.3,71.3,97.3,0.00,Matches
178,Marco Ballarini\Marco-Ballarini,it ITA,MF,Udinese,it Serie A,18,2001,0.0,5,0,2,3,1,0,5,0,0,,0,0,3,32,26,2,1,0,0,0,4,4,100.0,0,Matches
179,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Monaco,fr Ligue 1,22,1997,18.7,57.1,2.67,17.9,28.9,15.6,1.18,48.9,1.60,2.67,60.0,1.76,0.00,36.7,242.3,146.4,5.13,2.41,0.05,1.23,0.80,36.7,33.4,91.1,2.09,Matches
180,Florent Balmont\Florent-Balmont,fr FRA,MF,Dijon,fr Ligue 1,39,1980,4.5,70.0,0.44,15.3,45.3,12.7,0.44,66.0,0.22,0.67,33.3,0.67,0.00,48.7,212.7,114.2,3.11,0.89,0.22,1.11,1.33,53.3,47.3,88.8,1.56,Matches
181,Mario Balotelli\Mario-Balotelli,it ITA,FW,Brescia,it Serie A,28,1990,15.6,36.6,1.67,4.81,18.0,16.0,3.21,34.5,0.71,1.41,50.0,0.71,0.00,23.2,111.0,55.8,3.21,1.03,0.32,1.92,0.77,40.3,27.4,68.0,8.01,Matches
182,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,29,1990,6.2,51.8,1.45,18.2,23.9,11.6,0.48,42.4,0.65,0.65,100.0,0.65,0.00,29.4,121.6,56.6,2.10,0.81,0.16,0.16,0.65,30.6,28.5,93.2,1.29,Matches
