,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
52,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22-279,1998,16.2,68.0,3.33,22.6,33.4,14.7,0.86,56.4,1.36,2.10,64.7,1.42,0.06,39.0,162.8,99.9,3.95,1.17,0.25,0.80,1.30,39.6,36.7,92.8,1.42,Matches
53,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,19-221,2001,0.8,31.3,1.25,15.0,13.8,3.75,1.25,31.3,1.25,1.25,100.0,1.25,0.00,23.8,121.3,43.8,1.25,0.00,0.00,0.00,2.50,16.3,16.3,100.0,1.25,Matches
54,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,28-208,1992,13.8,34.0,0.80,2.83,15.1,17.8,5.72,32.8,1.45,1.88,76.9,1.52,0.00,22.8,76.7,22.5,0.94,0.43,0.29,2.97,1.59,47.2,26.4,56.0,10.4,Matches
55,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,32-044,1989,30.1,95.3,2.79,20.3,39.1,40.7,3.89,87.4,0.47,1.06,43.8,0.63,0.17,65.0,237.4,123.7,5.32,1.40,0.53,0.70,0.40,77.1,71.8,93.1,5.98,Matches
56,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,28-218,1992,25.3,78.1,0.67,11.9,43.2,32.3,2.37,69.1,1.74,2.92,59.5,2.02,0.28,55.1,366.9,255.1,10.9,4.66,0.59,1.70,1.94,62.3,55.5,89.0,4.47,Matches
57,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,35-242,1985,30.6,67.5,10.4,38.7,33.1,1.47,0.33,65.5,0.16,0.29,55.6,0.16,0.00,44.8,320.1,199.1,3.92,0.52,0.00,0.16,0.07,48.6,48.1,98.9,0.16,Matches
58,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31-167,1989,15.8,58.4,2.15,12.6,23.7,25.9,2.34,54.2,1.84,3.42,53.7,1.96,0.19,39.5,196.3,98.6,4.56,1.33,0.32,1.14,2.15,47.7,37.3,78.4,4.05,Matches
59,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,27-247,1993,16.1,23.1,0.50,1.99,11.4,10.4,4.66,20.6,0.37,0.56,66.7,0.37,0.00,13.0,48.2,21.5,1.49,0.37,0.50,1.43,0.93,34.8,15.8,45.5,6.21,Matches
60,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,32-046,1989,8.0,39.5,7.13,24.3,18.3,0.25,0.25,37.8,0.00,0.00,,0.00,0.00,16.5,107.8,60.6,0.75,0.00,0.00,0.00,0.00,20.8,19.4,93.4,0.00,Matches
61,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,30-023,1991,15.6,93.4,1.47,15.8,62.0,21.8,0.77,91.6,1.22,1.99,61.3,1.28,0.00,66.0,281.6,150.1,7.05,2.76,0.19,0.77,0.71,74.4,70.8,95.1,2.05,Matches
62,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,30-003,1991,22.4,57.7,2.59,15.4,37.8,8.35,1.03,56.0,0.54,0.94,57.1,0.67,0.04,36.6,193.9,91.0,2.95,0.94,0.04,0.40,0.85,37.5,35.0,93.3,0.45,Matches
63,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,24-129,1996,11.4,73.7,9.21,47.9,29.7,1.75,0.79,72.1,1.14,1.49,76.5,1.14,0.09,49.5,279.9,162.0,2.28,0.44,0.00,0.35,0.09,52.0,50.6,97.3,0.18,Matches
