,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
74,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-214,1992,28.0,36.9,28.4,36.7,0.36,0.00,0.00,30.0,0.11,0.11,100.0,0.11,0.00,19.5,68.7,36.4,0.00,0.00,0.00,0.00,0.00,19.9,19.8,99.6,0.00,Matches
75,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-163,1993,9.0,37.7,33.3,37.7,0.00,0.00,0.00,26.4,0.22,0.22,100.0,0.22,0.00,16.3,67.6,32.2,0.00,0.00,0.00,0.00,0.00,14.8,14.8,100.0,0.00,Matches
76,Allan\Allan,br BRA,MF,Everton,eng Premier League,30-116,1991,17.8,57.2,3.09,18.6,36.9,6.63,0.11,55.7,1.12,1.91,58.8,1.18,0.06,35.9,215.9,125.8,4.21,1.46,0.11,0.62,0.90,38.8,37.2,95.9,0.67,Matches
77,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,25-023,1996,3.5,68.6,0.57,10.0,43.7,20.9,2.86,66.3,1.71,3.43,50.0,1.71,0.57,49.7,210.9,94.0,3.14,2.00,0.00,1.71,2.00,61.4,48.6,79.1,6.57,Matches
78,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,27-083,1994,23.1,44.3,1.52,10.1,20.0,18.9,1.90,43.1,1.52,2.60,58.3,1.52,0.04,34.0,219.5,113.9,4.59,1.90,0.39,1.43,1.65,39.4,29.8,75.5,3.98,Matches
79,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,30-127,1990,9.7,69.2,3.40,18.9,29.7,25.6,4.12,60.7,0.62,1.34,46.2,0.62,0.00,41.1,203.1,122.8,6.08,1.96,0.62,0.41,1.44,50.5,43.3,85.7,4.33,Matches
80,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,29-101,1992,17.1,49.1,2.05,10.9,32.0,8.54,0.99,48.5,0.29,0.47,62.5,0.29,0.00,26.0,132.8,46.1,2.34,0.70,0.12,0.64,0.64,28.2,26.8,95.0,0.99,Matches
81,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,26-100,1995,19.6,59.6,6.22,31.6,30.0,2.60,0.87,57.1,0.36,0.46,77.8,0.41,0.10,34.5,239.5,124.7,2.24,0.77,0.05,0.10,0.10,36.0,35.5,98.6,0.36,Matches
82,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,39-158,1981,16.1,62.0,11.4,35.7,29.1,1.93,0.99,59.9,0.12,0.25,50.0,0.12,0.00,34.2,206.8,111.7,1.43,0.12,0.00,0.12,0.06,42.0,41.4,98.7,0.31,Matches
83,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,22-238,1998,8.2,52.9,2.07,11.7,27.4,16.7,1.95,51.6,0.85,1.46,58.3,0.98,0.00,38.2,183.8,90.5,4.39,1.22,0.49,1.22,1.59,43.2,38.3,88.7,2.44,Matches
84,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,fr Ligue 1,28-028,1993,16.6,51.3,2.17,13.4,33.9,6.39,0.84,50.2,0.42,0.54,77.8,0.42,0.00,32.5,133.2,70.5,2.17,0.72,0.30,0.42,1.39,35.7,32.8,91.7,0.60,Matches
85,Romain Amalfitano\Romain-Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,31-250,1989,1.3,53.1,3.08,15.4,25.4,18.5,0.00,48.5,0.77,0.77,100.0,0.77,0.00,33.8,240.8,144.6,10.0,2.31,0.00,0.00,2.31,40.8,36.2,88.7,0.77,Matches
86,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,es La Liga,19-165,2001,0.5,34.0,0.00,10.0,22.0,6.00,0.00,30.0,0.00,0.00,,0.00,0.00,16.0,134.0,82.0,2.00,0.00,0.00,2.00,0.00,18.0,18.0,100.0,0.00,Matches
87,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,26-134,1994,8.0,70.3,8.50,38.3,31.3,4.75,0.88,66.3,0.13,0.63,20.0,0.13,0.00,42.0,166.1,91.5,1.63,0.63,0.00,0.50,0.38,45.0,42.9,95.3,0.13,Matches
88,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,27-056,1994,8.2,64.1,4.39,23.5,31.8,13.2,1.10,56.3,1.34,2.32,57.9,1.46,0.00,32.8,147.2,82.2,3.54,1.46,0.37,0.73,1.46,36.6,33.7,92.0,2.32,Matches
89,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,24-037,1997,6.7,47.0,0.60,2.39,25.8,23.0,5.07,45.4,2.39,3.88,61.5,2.39,0.00,35.5,195.1,101.2,4.78,2.54,0.75,2.39,5.97,56.0,35.8,64.0,10.4,Matches
90,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,de Bundesliga,24-189,1996,20.1,64.8,0.95,8.61,37.7,23.1,1.59,60.5,0.90,1.84,48.6,1.04,0.10,46.8,247.8,122.7,6.17,2.14,0.35,2.29,1.39,57.7,48.6,84.2,4.48,Matches
91,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,eng Premier League,20-232,2000,23.2,58.4,6.47,23.4,29.5,9.66,0.39,54.9,0.39,0.56,69.2,0.43,0.00,31.2,197.3,118.0,4.22,1.51,0.00,0.60,0.30,34.3,32.9,96.1,0.39,Matches
92,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,it Serie A,24-256,1996,25.9,61.9,1.51,11.4,43.6,11.4,0.46,60.0,1.51,2.05,73.6,1.54,0.08,46.3,266.7,114.9,4.02,1.35,0.04,0.66,1.97,47.6,44.1,92.5,1.74,Matches
93,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,es La Liga,31-207,1989,7.6,37.4,2.50,10.3,23.2,4.87,0.92,36.4,0.13,0.26,50.0,0.26,0.13,15.1,65.1,17.0,1.05,0.13,0.00,0.26,0.92,22.0,17.5,79.6,0.39,Matches
94,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,eng Premier League,24-338,1996,27.7,70.3,11.7,41.0,30.6,2.96,0.72,68.3,0.18,0.18,100.0,0.18,0.00,41.6,253.9,134.4,2.13,0.36,0.00,0.22,0.22,46.0,45.1,98.0,0.11,Matches
95,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,24-338,1996,2.1,65.7,7.14,32.4,30.5,6.67,0.95,62.9,0.00,0.00,,0.00,0.00,39.0,216.7,119.5,4.29,0.95,0.00,0.00,1.90,46.7,45.7,98.0,0.95,Matches
96,Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,it Serie A,26-013,1995,0.8,47.5,1.25,7.50,22.5,22.5,0.00,38.8,0.00,1.25,0.0,0.00,0.00,32.5,210.0,97.5,7.50,1.25,0.00,1.25,1.25,31.3,25.0,80.0,1.25,Matches
97,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,eng Premier League,18-179,2002,0.0,2,0,0,1,1,1,2,0,0,,0,0,1,4,1,0,0,0,0,0,3,1,33.3,1,Matches
98,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,28-019,1993,0.0,7,0,0,5,3,1,7,0,0,,0,0,6,68,50,2,1,0,0,0,7,6,85.7,0,Matches
99,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29-293,1991,10.1,34.3,1.29,2.87,17.5,15.0,4.75,32.3,0.20,0.50,40.0,0.20,0.00,14.7,49.5,21.1,1.29,0.50,0.40,4.65,1.49,45.3,24.3,53.5,6.34,Matches
100,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,33-022,1988,2.0,20.0,18.5,20.0,0.00,0.00,0.00,14.0,0.00,0.00,,0.00,0.00,12.0,53.5,27.0,0.00,0.00,0.00,0.00,0.00,9.50,9.50,100.0,0.00,Matches
101,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,30-274,1990,30.4,75.9,2.34,15.2,50.8,13.6,1.32,75.0,0.92,1.38,66.7,0.95,0.00,46.2,214.4,100.5,4.61,1.35,0.07,0.76,1.64,55.9,50.8,90.9,2.83,Matches
102,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,26-224,1994,27.1,61.4,2.25,18.0,35.6,11.5,0.77,60.5,0.66,0.92,72.0,0.70,0.07,36.8,183.5,75.6,2.88,0.96,0.15,0.96,0.55,42.2,38.7,91.9,1.44,Matches
103,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,24-217,1996,18.6,55.8,1.34,13.6,35.3,11.3,0.54,54.9,1.18,1.67,71.0,1.24,0.00,42.6,206.7,99.1,3.49,1.02,0.00,1.08,1.72,41.9,39.6,94.5,1.61,Matches
104,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-316,2002,1.0,40.0,37.0,40.0,0.00,0.00,0.00,21.0,0.00,0.00,,0.00,0.00,5.00,21.0,16.0,0.00,0.00,0.00,0.00,0.00,9.00,8.00,88.9,0.00,Matches
105,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,es La Liga,23-054,1998,1.5,51.3,8.67,26.7,24.0,1.33,0.67,51.3,0.00,0.00,,0.00,0.00,18.0,60.0,16.0,0.67,0.00,0.00,0.00,0.00,23.3,21.3,91.4,0.00,Matches
106,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,31-241,1989,7.1,75.5,2.96,17.9,41.7,22.1,0.28,62.3,1.13,1.27,88.9,1.27,0.00,42.3,231.0,118.3,4.65,2.39,0.14,0.99,0.70,41.1,38.7,94.2,1.41,Matches
107,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,de Bundesliga,24-120,1997,22.7,72.9,1.59,14.8,32.6,29.4,3.88,61.5,0.75,1.59,47.2,0.93,0.04,42.3,186.5,102.1,4.85,1.23,0.62,0.88,0.88,55.6,46.6,83.9,6.21,Matches
108,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,it Serie A,19-322,2001,0.1,40.0,10.0,10.0,10.0,20.0,0.00,40.0,0.00,0.00,,0.00,0.00,30.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,30.0,30.0,100.0,0.00,Matches
109,Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,18-219,2002,0.1,10.0,0.00,0.00,10.0,0.00,0.00,10.0,0.00,10.0,0.0,10.0,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.0,10.0,16.7,0.00,Matches
110,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,it Serie A,34-226,1986,17.2,57.9,2.97,15.2,26.7,21.0,1.63,47.0,1.69,2.97,56.9,1.80,0.12,36.7,274.2,144.5,6.86,2.21,0.52,0.64,1.10,37.5,33.1,88.4,1.22,Matches
111,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,de Bundesliga,24-288,1996,27.1,77.1,14.8,44.7,34.1,3.51,0.89,73.9,0.33,0.59,56.3,0.48,0.00,50.1,324.8,162.8,3.32,0.37,0.11,0.44,0.85,53.5,52.4,98.0,0.52,Matches
112,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,es La Liga,22-286,1998,0.3,73.3,0.00,0.00,36.7,36.7,10.0,73.3,0.00,3.33,0.0,0.00,0.00,50.0,276.7,133.3,10.0,0.00,3.33,0.00,6.67,60.0,50.0,83.3,13.3,Matches
113,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,31-037,1990,18.2,36.0,0.55,1.70,16.0,21.0,5.82,35.2,2.03,3.46,58.7,2.31,0.00,25.3,133.7,84.4,4.84,1.54,1.32,3.46,2.58,55.4,28.2,50.9,8.52,Matches
114,Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,it Serie A,20-176,2000,2.2,61.8,13.2,40.9,23.6,1.36,0.00,57.3,0.45,0.45,100.0,0.45,0.00,35.5,216.4,118.2,1.36,0.00,0.00,0.00,0.00,39.1,39.1,100.0,0.00,Matches
115,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,22-308,1998,17.7,65.0,0.51,5.54,35.2,29.9,6.78,62.9,2.37,4.07,58.3,2.60,0.11,50.7,270.1,172.8,8.36,2.43,1.30,1.81,2.49,63.8,53.1,83.2,7.57,Matches
116,Adil Aouchiche\Adil-Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18-293,2002,17.7,53.7,0.73,7.34,28.1,22.7,2.37,47.2,1.64,3.11,52.7,1.81,0.23,35.9,219.5,124.7,5.82,1.75,0.68,1.98,2.26,44.6,36.2,81.1,4.52,Matches
117,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,28-329,1992,14.4,63.7,3.54,21.8,29.0,16.7,0.83,52.2,0.90,1.32,68.4,1.04,0.00,31.5,155.3,89.5,4.31,1.81,0.14,0.76,1.18,34.2,30.2,88.4,1.67,Matches
118,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,es La Liga,23-093,1998,0.3,80.0,0.00,16.7,53.3,10.0,3.33,63.3,0.00,3.33,0.0,0.00,0.00,33.3,116.7,26.7,0.00,0.00,0.00,0.00,0.00,46.7,46.7,100.0,0.00,Matches
119,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,25-216,1995,31.1,45.3,1.48,7.78,27.1,13.9,1.19,41.5,0.96,1.74,55.6,1.06,0.13,26.8,157.0,68.7,3.15,1.51,0.23,0.96,0.93,26.6,22.7,85.5,1.80,Matches
120,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,32-017,1989,16.6,73.0,2.89,17.8,48.0,10.4,0.84,70.8,0.48,0.66,72.7,0.48,0.00,48.0,174.5,75.8,2.35,0.54,0.24,0.78,1.14,51.6,49.5,95.8,1.63,Matches
121,Luiz Araújo\Luiz-Araujo,br BRA,MF,Lille,fr Ligue 1,24-336,1996,15.1,52.5,0.73,6.62,25.1,26.1,3.18,51.4,2.65,4.57,58.0,2.78,0.13,39.7,241.2,136.0,6.89,1.79,0.73,2.12,1.99,44.8,37.8,84.3,6.03,Matches
122,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,29-248,1991,24.0,68.9,10.3,40.3,32.4,1.88,0.38,68.0,0.25,0.29,85.7,0.25,0.00,45.2,309.3,173.5,3.71,0.42,0.00,0.25,0.08,48.7,48.0,98.6,0.08,Matches
123,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,22-058,1999,13.8,70.4,10.8,33.3,38.2,2.39,0.72,69.1,0.22,0.29,75.0,0.29,0.00,49.5,237.9,120.9,3.62,0.58,0.07,0.07,0.14,52.4,51.7,98.6,0.00,Matches
124,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,33-354,1987,27.2,71.9,4.34,24.4,42.1,10.1,0.48,62.1,0.99,1.07,93.1,1.07,0.00,39.0,233.5,118.6,3.79,0.88,0.11,0.59,0.51,38.7,37.2,96.0,0.22,Matches
125,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-066,1993,33.0,30.1,27.0,29.9,0.12,0.00,0.00,20.3,0.00,0.00,,0.00,0.00,12.0,55.7,26.9,0.00,0.00,0.00,0.03,0.00,10.6,10.6,99.4,0.00,Matches
126,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,de Bundesliga,29-111,1992,1.0,64.0,3.00,21.0,29.0,16.0,2.00,58.0,0.00,0.00,,0.00,0.00,37.0,157.0,74.0,4.00,1.00,0.00,0.00,0.00,35.0,35.0,100.0,2.00,Matches
127,Karim Aribi\Karim-Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26-314,1994,3.3,31.8,0.91,4.85,14.5,15.5,4.85,29.1,0.91,1.82,50.0,0.91,0.00,15.5,66.4,31.8,1.21,0.91,0.30,3.94,2.12,57.9,22.4,38.7,6.67,Matches
128,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,22-123,1999,0.5,28.0,0.00,0.00,10.0,18.0,0.00,28.0,0.00,0.00,,0.00,0.00,16.0,28.0,14.0,2.00,0.00,0.00,8.00,2.00,42.0,24.0,57.1,18.0,Matches
129,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,29-035,1992,25.9,52.3,1.39,8.42,30.5,18.6,2.24,49.8,1.81,3.28,55.3,1.85,0.00,35.4,225.3,134.7,5.95,2.36,0.35,1.70,2.16,43.6,35.3,81.0,3.98,Matches
130,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,26-342,1994,25.7,68.6,2.80,13.7,41.9,17.1,0.51,59.8,0.51,0.62,81.3,0.51,0.00,38.1,210.7,107.4,4.55,1.40,0.04,0.54,1.13,40.7,37.9,93.2,1.67,Matches
131,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,de Bundesliga,20-162,2000,1.2,46.7,0.00,1.67,20.0,26.7,10.8,45.0,0.83,0.83,100.0,0.83,0.00,22.5,86.7,21.7,0.83,0.83,0.00,5.83,2.50,69.2,35.8,51.8,10.8,Matches
132,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,es La Liga,19-216,2001,1.5,70.7,2.67,12.7,35.3,27.3,1.33,69.3,3.33,4.00,83.3,3.33,0.00,59.3,296.0,159.3,9.33,2.00,0.67,0.00,2.00,66.0,54.7,82.8,7.33,Matches
133,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-213,1994,5.0,41.0,39.8,41.0,0.20,0.00,0.00,32.2,0.00,0.00,,0.00,0.00,22.4,81.0,39.8,0.00,0.00,0.00,0.40,0.00,22.4,22.4,100.0,0.00,Matches
134,Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,it Serie A,30-261,1990,19.3,54.5,1.50,13.0,33.6,13.3,0.98,52.8,1.76,2.33,75.6,1.76,0.00,40.2,233.1,142.1,6.84,2.44,0.26,0.83,1.19,38.5,36.6,95.0,1.76,Matches
135,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DFMF,Cagliari,it Serie A,32-146,1988,2.3,53.5,3.48,13.5,28.7,15.7,0.43,48.7,0.00,0.43,0.0,0.00,0.00,37.4,177.4,109.1,3.91,1.30,0.00,0.43,0.43,36.5,32.2,88.1,1.74,Matches
136,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,24-068,1997,4.6,56.1,2.61,17.6,32.4,8.70,1.30,52.8,0.43,0.65,66.7,0.43,0.00,30.2,131.5,65.9,2.17,0.65,0.00,1.52,1.30,32.4,29.3,90.6,0.65,Matches
137,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-310,1989,33.0,38.2,33.7,38.2,0.12,0.00,0.00,28.3,0.00,0.00,,0.00,0.00,19.8,88.3,47.5,0.00,0.00,0.00,0.00,0.00,19.7,19.5,99.1,0.00,Matches
138,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,25-103,1996,19.2,57.4,0.94,6.04,25.9,30.2,3.54,54.3,1.82,2.66,68.6,1.93,0.10,44.9,277.4,149.3,8.23,2.66,0.68,1.30,1.09,55.5,45.2,81.4,6.56,Matches
139,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,20-115,2001,0.9,30.0,2.22,14.4,12.2,4.44,1.11,30.0,0.00,0.00,,0.00,0.00,18.9,50.0,11.1,0.00,0.00,0.00,1.11,3.33,23.3,16.7,71.4,1.11,Matches
140,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,33-276,1987,29.0,49.5,1.07,4.79,23.5,24.7,5.72,47.7,1.97,2.90,67.9,2.07,0.07,37.6,196.7,109.1,5.90,1.90,1.48,1.59,1.31,55.9,39.6,70.7,10.4,Matches
141,Roger Assalé\Roger-Assale,ci CIV,FWMF,Dijon,fr Ligue 1,27-172,1993,9.2,32.8,0.33,4.02,16.6,15.9,3.48,32.4,1.85,2.61,70.8,1.96,0.11,25.3,148.9,85.9,4.57,2.28,0.76,2.39,3.59,41.5,24.1,58.1,7.17,Matches
142,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,21-342,1999,5.5,41.3,1.64,5.82,27.3,8.91,0.91,40.7,0.36,0.36,100.0,0.36,0.00,20.4,100.0,36.0,2.00,0.18,0.00,0.18,0.55,28.5,21.6,75.8,1.64,Matches
143,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,24-352,1996,8.1,72.5,2.35,19.9,35.1,24.1,3.09,64.0,2.35,4.20,55.9,2.35,0.12,48.5,264.2,166.2,7.28,1.36,1.11,2.35,1.98,54.9,46.7,84.9,4.07,Matches
144,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31-320,1989,23.2,35.6,0.95,4.96,14.5,18.6,4.96,34.7,0.52,1.12,46.2,0.56,0.00,24.1,138.6,83.0,4.18,1.47,0.99,1.25,0.78,49.0,28.1,57.3,7.24,Matches
145,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,24-106,1997,34.0,36.4,32.9,36.3,0.09,0.00,0.00,26.1,0.00,0.00,,0.00,0.00,16.6,85.8,44.8,0.00,0.00,0.00,0.00,0.00,15.5,15.5,99.8,0.00,Matches
146,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,26-247,1994,31.7,66.4,3.75,21.6,31.0,18.7,0.91,56.5,0.82,1.58,52.0,0.98,0.13,39.7,225.5,134.9,4.51,1.99,0.16,0.98,0.76,43.5,40.1,92.1,1.77,Matches
147,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Nantes,fr Ligue 1,23-322,1997,0.4,20.0,0.00,2.50,17.5,5.00,0.00,15.0,0.00,0.00,,0.00,0.00,7.50,27.5,0.00,0.00,2.50,0.00,2.50,0.00,35.0,12.5,35.7,2.50,Matches
148,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,27-013,1994,19.7,64.8,3.86,19.8,26.6,21.6,1.52,50.2,0.36,0.71,50.0,0.41,0.00,30.4,152.5,89.9,3.25,0.96,0.25,0.66,0.41,38.1,32.9,86.3,2.13,Matches
149,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,28-131,1992,16.8,68.6,4.70,23.8,31.0,16.4,1.37,59.6,0.83,1.79,46.7,0.89,0.00,38.9,131.8,69.4,3.27,0.89,0.12,0.71,1.19,43.9,39.1,89.1,2.38,Matches
150,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,eng Premier League,31-303,1989,1.5,38.7,3.33,6.00,15.3,18.7,2.00,37.3,1.33,2.67,50.0,1.33,0.00,23.3,83.3,44.7,1.33,0.00,0.67,4.00,2.67,60.7,26.7,44.0,4.00,Matches
151,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Osasuna,es La Liga,27-087,1994,1.3,36.9,0.00,3.85,19.2,16.9,2.31,36.2,0.00,1.54,0.0,0.00,0.00,20.0,126.9,53.1,2.31,0.77,0.00,0.77,3.08,42.3,25.4,60.0,7.69,Matches
152,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23-265,1997,14.3,34.0,0.21,1.96,19.2,15.0,4.97,33.7,1.26,2.38,52.9,1.54,0.07,23.1,85.7,46.9,2.31,1.40,0.63,4.90,2.45,59.6,26.2,43.9,8.18,Matches
153,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,de Bundesliga,19-084,2002,3.8,49.2,3.42,18.2,25.5,8.68,1.05,41.8,0.53,1.05,50.0,0.53,0.00,22.4,105.0,53.2,2.89,1.05,0.26,1.32,0.79,30.0,23.4,78.1,1.32,Matches
154,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,29-235,1991,21.2,44.1,0.80,6.46,23.7,18.0,2.74,43.4,1.84,3.58,51.3,2.08,0.14,32.6,185.3,96.7,3.49,1.75,0.66,2.55,3.54,52.2,31.2,59.8,4.76,Matches
155,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Sassuolo,it Serie A,26-175,1994,8.7,72.3,8.62,23.0,43.8,9.66,0.57,68.5,0.23,0.34,66.7,0.23,0.00,50.6,249.0,170.8,7.70,1.95,0.23,0.23,0.11,55.3,53.0,95.8,0.57,Matches
156,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,eng Premier League,29-252,1991,33.8,84.0,7.04,37.5,38.6,15.5,1.92,74.6,1.09,1.72,63.8,1.12,0.18,51.2,349.1,218.8,6.33,1.92,0.24,0.98,0.74,56.7,53.2,93.8,1.78,Matches
157,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,es La Liga,28-143,1992,1.1,43.6,1.82,7.27,25.5,12.7,2.73,42.7,0.00,0.00,,0.00,0.00,21.8,121.8,20.0,0.91,0.91,0.00,0.91,0.91,31.8,25.5,80.0,3.64,Matches
158,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31-249,1989,20.5,94.1,5.90,34.8,45.5,17.6,1.22,86.4,0.24,0.44,55.6,0.24,0.00,54.4,226.1,140.4,4.63,1.37,0.00,0.29,0.44,68.1,65.3,95.8,1.07,Matches
159,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,34-345,1986,3.2,85.6,5.94,32.8,48.4,8.44,0.00,79.4,1.88,2.19,85.7,1.88,0.31,58.1,287.5,163.1,4.38,0.31,0.00,0.94,0.94,61.6,57.8,93.9,0.63,Matches
160,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,34-238,1986,7.1,31.1,0.28,2.11,15.8,14.9,5.63,29.6,0.99,2.11,46.7,1.13,0.14,18.6,76.6,40.1,2.11,1.13,0.42,1.69,2.39,46.2,23.5,50.9,8.17,Matches
161,Loïc Bade\Loic-Bade,fr FRA,DF,Lens,fr Ligue 1,21-023,2000,26.0,78.6,11.8,44.6,39.1,1.81,0.46,77.3,0.73,0.81,90.5,0.73,0.00,49.4,373.7,222.0,3.77,0.54,0.08,0.38,0.38,51.8,50.6,97.8,0.19,Matches
162,Milan Badelj\Milan-Badelj,hr CRO,MF,Genoa,it Serie A,32-068,1989,25.4,71.7,3.62,19.9,43.7,11.3,0.51,69.4,1.06,1.42,75.0,1.06,0.00,44.8,171.4,85.1,3.07,0.83,0.04,0.79,1.14,48.6,46.0,94.7,1.42,Matches
